name, img, birth, death, length 
Félix Ravaisson-Mollien, http://upload.wikimedia.org/wikipedia/commons/9/9e/Felix_Ravaisson-Mollien.png, , , 3741
Dimitri Nakassis, http://upload.wikimedia.org/wikipedia/en/thumb/7/77/Nakassis_2015_hi-res-download_3.jpg/220px-Nakassis_2015_hi-res-download_3.jpg, , , 1744
Jules Quicherat, http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Jules_Quicherat.JPG/150px-Jules_Quicherat.JPG, , , 5474
Marija Gimbutas, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Prof-Dr-Marija-Gimbutas-Copyright-Foto-Monica-Boirar-aka-Monica-Beurer.jpg/220px-Prof-Dr-Marija-Gimbutas-Copyright-Foto-Monica-Boirar-aka-Monica-Beurer.jpg, 1921-01-23, 1994-02-02, 29223
Israel Finkelstein, http://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Israel_Finkelstein.jpg/220px-Israel_Finkelstein.jpg, 1949-03-29, , 46703
David Lewis-Williams, http://upload.wikimedia.org/wikipedia/en/thumb/a/ad/David_Lewis-Williams_at_Chauvet.jpg/220px-David_Lewis-Williams_at_Chauvet.jpg, , , 21301
Amelia Edwards, http://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Amelia_B_Edwards_1890_in_Amerika.jpg/220px-Amelia_B_Edwards_1890_in_Amerika.jpg, , , 12238
Charles Étienne Brasseur de Bourbourg, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Brasseur_de_Bourbourg.jpeg/220px-Brasseur_de_Bourbourg.jpeg, 1814-09-08, 1874-01-08, 19690
John Marshall (archaeologist), http://upload.wikimedia.org/wikipedia/en/8/80/Sir_John_Marshall.jpg, 1876-03-19, 1958-08-17, 4105
David L. Clarke, http://upload.wikimedia.org/wikipedia/en/thumb/c/c3/David_Clarke_archaeologist.jpg/220px-David_Clarke_archaeologist.jpg, 1937-10-03, 1976-06-27, 2757
Stuart Piggott, http://upload.wikimedia.org/wikipedia/en/b/b8/Stuartpiggott.jpg, , 1996-09-23, 9340
