name, img, birth, death, length 
Large Binocular Telescope, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LargeBinoTelescope_NASA.jpg/250px-LargeBinoTelescope_NASA.jpg, , , 15302
Ismaël Bullialdus, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Isma%C3%ABl_Boulliau.jpeg/220px-Isma%C3%ABl_Boulliau.jpeg, 1605-09-28, 1694-11-25, 13409
Gran Telescopio Canarias, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/GranTeCan_Mosaic.jpg/250px-GranTeCan_Mosaic.jpg, , , 12624
Peter Andreas Hansen, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/P.A.Hansen.jpg/150px-P.A.Hansen.jpg, 1795-12-08, 1874-03-28, 6397
Edmond Halley, http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Edmond_Halley_072.jpg/220px-Edmond_Halley_072.jpg, , , 24473
Mario Hamuy, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/MarioHamuy09.jpg/180px-MarioHamuy09.jpg, , , 3073
Thomas Harriot, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/ThomasHarriot.jpg/220px-ThomasHarriot.jpg, , 1621-07-02, 15618
Very Large Telescope, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Aerial_View_of_the_VLTI_with_Tunnels_Superimposed.jpg/220px-Aerial_View_of_the_VLTI_with_Tunnels_Superimposed.jpg, , , 34318
Al-Biruni, http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Biruni-russian.jpg/220px-Biruni-russian.jpg, , , 49312
Southern African Large Telescope, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Southern_African_Large_Telescope_720x576px.jpg/220px-Southern_African_Large_Telescope_720x576px.jpg, , , 12055
W. M. Keck Observatory, http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/KeckTelescopes-hi.png/220px-KeckTelescopes-hi.png, , , 14828
