name, img, birth, death, length 
André Marie Constant Duméril, http://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Andr%C3%A9_Marie_Constant_Dum%C3%A9ril.jpg/220px-Andr%C3%A9_Marie_Constant_Dum%C3%A9ril.jpg, , 1860-08-15, 4770
St. George Jackson Mivart, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/St._George_Jackson_Mivart._Photograph_by_Barraud_%26_Jerrard._Wellcome_V0026864.jpg/220px-St._George_Jackson_Mivart._Photograph_by_Barraud_%26_Jerrard._Wellcome_V0026864.jpg, 1827-11-30, 1900-04-01, 16337
Henri Milne-Edwards, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Henri_Milne-Edwards2.jpg/230px-Henri_Milne-Edwards2.jpg, 1800-10-23, 1885-07-29, 8163
Nicholas Miklouho-Maclay, http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Miklukho-Maklai.jpg/220px-Miklukho-Maklai.jpg, 1846-07-17, 1888-04-14, 22079
Félix Dujardin, http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/F%C3%A9lix_Dujardin_-_by_Louise_Dujardin_1847_-_Head.png/150px-F%C3%A9lix_Dujardin_-_by_Louise_Dujardin_1847_-_Head.png, , 1860-04-09, 3244
Johann Georg Gmelin, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Johann_Georg_Gmelin.jpg/220px-Johann_Georg_Gmelin.jpg, , 1755-05-21, 4439
Thomas Nuttall, http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Thomas_Nuttall.jpg/150px-Thomas_Nuttall.jpg, , 1859-09-11, 7113
Jacques Miller, http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/23px-Flag_of_Australia.svg.png, 1931-04-02, , 7962
Lorenz Oken, http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Lorenz_Oken.jpg/200px-Lorenz_Oken.jpg, , 1851-08-11, 15678
Hugo von Mohl, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Hugo_von_mohl.jpg/220px-Hugo_von_mohl.jpg, , 1872-05, 4944
