name, img, birth, death, length 
Irina Beletskaya, http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Beletskaya.jpg/300px-Beletskaya.jpg, 1933-03-10, , 4056
William Merriam Burton, http://upload.wikimedia.org/wikipedia/en/d/d6/William_Merriam_Burton.jpg, 1865-11-17, 1954-12-29, 1816
Stephen Moulton Babcock, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Portrait_of_Stephen_Moulton_Babcock.jpg/220px-Portrait_of_Stephen_Moulton_Babcock.jpg, , 1931-07-03, 9880
Archibald Scott Couper, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Couper_Archibald_Scott.jpg/220px-Couper_Archibald_Scott.jpg, 1831-03-31, 1892-03-11, 4277
James Crafts, http://upload.wikimedia.org/wikipedia/commons/e/ec/Crafts_James_Mason.jpg, 1839-03-08, 1917-06-20, 5231
Arthur H. Livermore, http://upload.wikimedia.org/wikipedia/en/thumb/4/4e/ArthurLivermore1961.jpg/150px-ArthurLivermore1961.jpg, 1915-08-14, 2009-10-12, 1771
E. J. Bowen, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Dr_Bowen%27s_Room%2C_University_College%2C_Oxford.JPG/220px-Dr_Bowen%27s_Room%2C_University_College%2C_Oxford.JPG, 1898-04-29, 1980-11-19, 6966
Herman Frasch, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/CAB_Frasch_Herman.jpg/220px-CAB_Frasch_Herman.jpg, , 1914-06, 6971
Edward W. Morley, http://upload.wikimedia.org/wikipedia/commons/d/d5/Edward_Williams_Morley2.jpg, 1838-01-29, 1923-02-24, 11548
Heinrich Caro, http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Heinrich_Caro_ca1900.jpg/220px-Heinrich_Caro_ca1900.jpg, 1834-02-13, 1910-09-11, 3116
Constantin Cândea, http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Constantin_Candea.jpg/250px-Constantin_Candea.jpg, 1887-12-15, 1971-03-04, 4673
Francesco Bellini, http://upload.wikimedia.org/wikipedia/commons/d/d5/FBellini_business.gif, 1947-11-20, , 7922
Victor Grignard, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Viktor-grignard.jpg/180px-Viktor-grignard.jpg, 1871-05-06, 1935-12-13, 7557
Gaspard Monge, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Gaspard_monge_litho_delpech.jpg/220px-Gaspard_monge_litho_delpech.jpg, 1746-05-09, 1818-07-28, 12983
Elio Di Rupo, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Elio_Di_Rupo_PES-Kongress_2014.jpg/220px-Elio_Di_Rupo_PES-Kongress_2014.jpg, 1951-07-18, , 14196
Giacomo Luigi Ciamician, http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Ciamician-Giacomo_01a.jpg/220px-Ciamician-Giacomo_01a.jpg, 1857-08-29, 1922-01-02, 3929
Karl Ziegler, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Karl_Ziegler_Nobel.jpg/180px-Karl_Ziegler_Nobel.jpg, , 1973-08-12, 22667
Friedrich Wöhler, http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Friedrich_W%C3%B6hler_Litho.jpg/250px-Friedrich_W%C3%B6hler_Litho.jpg, 1800-07-31, 1882-09-23, 10901
Henry Louis Le Châtelier, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Lechatelier.jpg/150px-Lechatelier.jpg, 1850-10-08, 1936-09-17, 9932
Ernst Cohen, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/EJCohen.jpg/220px-EJCohen.jpg, , 1944-03-07, 2735
Eduard Buchner, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Eduardbuchner.jpg/200px-Eduardbuchner.jpg, 1860-05-20, 1917-08-13, 8218
Hendrik Willem Bakhuis Roozeboom, http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Hendrik_Willem_Bakhuis_Roozeboom.jpg/220px-Hendrik_Willem_Bakhuis_Roozeboom.jpg, , 1907-02-09, 3515
Humphry Bowen, http://upload.wikimedia.org/wikipedia/commons/2/2f/Humphry_Bowen.jpg, 1929-06-22, 2001-08-09, 6067
Alexander Borodin, http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Borodin.jpg/220px-Borodin.jpg, , , 14849
Carolyn R. Bertozzi, http://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Carolyn_Bertozzi_IMG_9384.jpg/220px-Carolyn_Bertozzi_IMG_9384.jpg, 1966-10-10, , 9088
Neil Bartlett (chemist), http://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Neil_Bartlett.jpg/220px-Neil_Bartlett.jpg, 1932-09-15, 2008-08-05, 6981
Jean Charles Galissard de Marignac, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Galissard_de_Marignac.jpg/150px-Galissard_de_Marignac.jpg, , 1894-04-16, 4127
Elmer McCollum, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/EVMcCollum-crop-UW.jpg/220px-EVMcCollum-crop-UW.jpg, 1879-03-03, 1967-11-15, 41051
Richard Kuhn, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Richard_Kuhn_ETH-Bib_Dia_248-065.jpg/180px-Richard_Kuhn_ETH-Bib_Dia_248-065.jpg, 1900-12-03, 1967-08-01, 8062
Luis E. Miramontes, http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Luis_E_Miramontes.jpg/220px-Luis_E_Miramontes.jpg, 1925-03-16, 2004-09-13, 16163
Stanley Miller, http://upload.wikimedia.org/wikipedia/commons/d/d9/Miller1999.jpg, 1930-03-07, 2007-05-20, 15217
Paul Berg, http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Paul_Berg_in_1980.jpg/250px-Paul_Berg_in_1980.jpg, 1926-06-30, , 25163
Israel Shahak, http://upload.wikimedia.org/wikipedia/en/thumb/3/38/Israel_Shahak.jpg/220px-Israel_Shahak.jpg, , , 32899
Jean-Marie Lehn, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Portrait_Jean-Marie_Lehn.JPG/180px-Portrait_Jean-Marie_Lehn.JPG, 1939-09-30, , 10482
Martin Chalfie, http://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Martin_Chalfie-press_conference_Dec_07th%2C_2008-4.jpg/220px-Martin_Chalfie-press_conference_Dec_07th%2C_2008-4.jpg, 1947-01-15, , 10455
Raymond Davis Jr., http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Raymond_Davis%2C_Jr_2001.jpg/220px-Raymond_Davis%2C_Jr_2001.jpg, 1914-10-14, 2006-05-31, 13097
Herbert Henry Dow, http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/HDow1888.jpg/220px-HDow1888.jpg, , 1930-10-15, 8911
