name, img, birth, death, length 
Veerabhadran Ramanathan, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Veerabhadran_Ramanathan_KVA_2009-2.jpg/220px-Veerabhadran_Ramanathan_KVA_2009-2.jpg, 1944-11-24, , 13050
Andrew Dessler, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Andrew_Dessler20080918_05.jpg/220px-Andrew_Dessler20080918_05.jpg, , , 23812
Nicholas Shackleton, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Nicholas_shackleton.jpg/150px-Nicholas_shackleton.jpg, 1937-06-23, 2006-01-24, 9363
Julia Slingo, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Professor_Dame_Julia_Mary_Slingo_DBE_FRS.jpg/220px-Professor_Dame_Julia_Mary_Slingo_DBE_FRS.jpg, 1950-12-13, , 10186
Judith Curry, http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Curry_2006_200dpi.jpg/140px-Curry_2006_200dpi.jpg, , , 11433
Tim Palmer (physicist), http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Tim_Palmer_World_Economic_Forum_2013.jpg/220px-Tim_Palmer_World_Economic_Forum_2013.jpg, 1952-12-31, , 6552
Peter Gleick, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Dr._Peter_Gleick%2C_Boston_Museum_of_Science%2C_April_2014.jpg/220px-Dr._Peter_Gleick%2C_Boston_Museum_of_Science%2C_April_2014.jpg, , , 18534
Joseph Fourier, http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Fourier2.jpg/250px-Fourier2.jpg, 1768-03-21, 1830-05-16, 16337
P. C. S. Devara, http://upload.wikimedia.org/wikipedia/commons/c/ca/Devarapotrait.jpg, , , 6306
Francis Galton, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Francis_Galton_1850s.jpg/220px-Francis_Galton_1850s.jpg, 1822-02-16, 1911-01-17, 45825
Ralph Keeling, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Nuvola_apps_kaboodle.svg/16px-Nuvola_apps_kaboodle.svg.png, , , 8810
Sylvia Earle, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/SylviaEarle.jpg/220px-SylviaEarle.jpg, 1935-08-30, , 24974
Isaac Held, http://upload.wikimedia.org/wikipedia/en/thumb/6/61/Searchtool.svg/16px-Searchtool.svg.png, , , 4161
