name, img, birth, death, length 
David A. Wagner, http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/David-Wagner.jpg/150px-David-Wagner.jpg, 1974, , 2614
Samir Das, http://upload.wikimedia.org/wikipedia/commons/b/bd/Das_0.jpg, , , 2174
Michael Butler (computer scientist), http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Michael_Butler_%28computer_scientist%29.jpg/220px-Michael_Butler_%28computer_scientist%29.jpg, , , 2048
Lee Calcote, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Lee_Calcote.jpg/220px-Lee_Calcote.jpg, , , 2401
Sophie Wilson, http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Sophie_Wilson_Presenting.jpg/220px-Sophie_Wilson_Presenting.jpg, , , 9322
Robert Kowalski, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Robert_Kowalski.jpg/220px-Robert_Kowalski.jpg, 1941-05-15, , 6017
Edgar F. Codd, http://upload.wikimedia.org/wikipedia/en/thumb/5/58/Edgar_F_Codd.jpg/150px-Edgar_F_Codd.jpg, 1923-08-19, 2003-04-18, 10510
Moshe Vardi, http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Moshe_Vardi_IMG_0010.jpg/220px-Moshe_Vardi_IMG_0010.jpg, 1954-07-04, , 6724
Leslie Valiant, http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Leslie_Valiant.jpg/225px-Leslie_Valiant.jpg, 1949-03-28, , 8918
Gernot Heiser, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Gernot_Heiser.jpg/150px-Gernot_Heiser.jpg, , , 8415
Robert Tarjan, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Bob_Tarjan.jpg/220px-Bob_Tarjan.jpg, 1948-04-30, , 9892
Daniel Henry Holmes Ingalls Jr., http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Dan_Ingalls.jpg/220px-Dan_Ingalls.jpg, , , 6164
Ken Kennedy (computer scientist), http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/KenKennedy2001.jpg/220px-KenKennedy2001.jpg, 1945-08-12, 2007-02-07, 3437
Richard M. Karp, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Karp_mg_7725-b.cr2.jpg/220px-Karp_mg_7725-b.cr2.jpg, 1935-01-03, , 17707
Adriaan van Wijngaarden, http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Adriaan_van_Wijngaarden_signature.jpg/128px-Adriaan_van_Wijngaarden_signature.jpg, 1916-11-02, 1987-02-07, 4039
Frances E. Allen, http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Allen_mg_2528-3750K-b.jpg/220px-Allen_mg_2528-3750K-b.jpg, 1932-08-04, , 9918
Ivar Jacobson, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Ivar_jacobson.jpg/150px-Ivar_jacobson.jpg, 1939-09-02, , 9564
Charles P. Thacker, http://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Chuckthacker.jpg/220px-Chuckthacker.jpg, 1943-02-26, , 6391
Robert Sproull, http://upload.wikimedia.org/wikipedia/commons/thumb/6/64/RobertLSproul1970.jpg/220px-RobertLSproul1970.jpg, 1918-08-16, 2014-10-09, 4602
Sebastian Thrun, http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Sebastian_Thrun_World_Economic_Forum_2013.jpg/220px-Sebastian_Thrun_World_Economic_Forum_2013.jpg, 1967-05-14, , 11647
Mark Weiser, http://upload.wikimedia.org/wikipedia/en/thumb/7/70/Mark_weiser.jpg/150px-Mark_weiser.jpg, 1952-07-23, 1999-04-27, 5395
Peter J. Weinberger, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/PeterWeinberger2009.jpg/220px-PeterWeinberger2009.jpg, 1942-08-06, , 3096
Donald Firesmith, http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Donald_Firesmith.jpg/220px-Donald_Firesmith.jpg, 1952-06-14, , 9092
Maurice Wilkes, http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Maurice_Vincent_Wilkes_1980_%283%29.jpg/220px-Maurice_Vincent_Wilkes_1980_%283%29.jpg, 1913-06-26, 2010-11-29, 17800
Bert Sutherland, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Bert_Sutherland_2009.jpg/150px-Bert_Sutherland_2009.jpg, 1936-05-10, , 2732
Andrew Yao, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Andrew_Yao.jpg/220px-Andrew_Yao.jpg, 1946-12-24, , 8764
Edwin Catmull, http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/VES_Awards_89_cropped.jpg/220px-VES_Awards_89_cropped.jpg, 1945-03-31, , 18738
Mario Szegedy, http://upload.wikimedia.org/wikipedia/en/thumb/3/31/Mario_Szegedy_at_Rutgers_2008.jpg/220px-Mario_Szegedy_at_Rutgers_2008.jpg, 1960-10-23, , 1899
Tim Finin, http://upload.wikimedia.org/wikipedia/en/0/05/Tim_Finin.jpg, 1949-08-04, , 4269
Andrew S. Tanenbaum, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Andrew_S._Tanenbaum_2012.jpg/220px-Andrew_S._Tanenbaum_2012.jpg, 1944-03-16, , 18766
Vinod Dham, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Vinod_Dham_Portrait.JPG/220px-Vinod_Dham_Portrait.JPG, , , 26134
Manuela M. Veloso, http://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Manuela_Veloso_IMG_2376.jpg/220px-Manuela_Veloso_IMG_2376.jpg, , , 5053
David P. Anderson, http://upload.wikimedia.org/wikipedia/en/thumb/a/a9/David_P._Anderson_head_shot.jpg/240px-David_P._Anderson_head_shot.jpg, , , 5301
Samson Abramsky, http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Abramsky_Samson.jpg/220px-Abramsky_Samson.jpg, 1953-03-12, , 9180
Gene Amdahl, http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Amdahl_march_13_2008.jpg/220px-Amdahl_march_13_2008.jpg, 1922-11-16, 2015-11-10, 11251
