name, img, birth, death, length 
David Schramm (astrophysicist), http://upload.wikimedia.org/wikipedia/en/f/f8/David_Schramm_%28astrophysicist%29.jpg, , 1997-12-19, 4630
2dF Galaxy Redshift Survey, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/2dfdtfe.gif/220px-2dfdtfe.gif, , , 7005
Sloan Digital Sky Survey, http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Blue_pencil.svg/10px-Blue_pencil.svg.png, , , 22939
George F. R. Ellis, http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/George_Ellis_0040.jpg/220px-George_Ellis_0040.jpg, 1939-08-11, , 11784
Allan Sandage, http://upload.wikimedia.org/wikipedia/en/d/d6/Allan_Sandage.jpg, 1926-06-18, 2010-11-13, 11952
Margaret Geller, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/MargaretGeller1981a.jpg/220px-MargaretGeller1981a.jpg, 1947-12-08, , 6741
Andrei Linde, http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Andrei_Linde.jpg/150px-Andrei_Linde.jpg, 1948-03-02, , 14671
Edward Kolb, http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Rocky_Kolb_Shimer_College_Chicago_2010_cropped.jpg/230px-Rocky_Kolb_Shimer_College_Chicago_2010_cropped.jpg, 1951-10-02, , 1507
George F. R. Ellis, http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/George_Ellis_0040.jpg/220px-George_Ellis_0040.jpg, 1939-08-11, , 11784
Yakov Borisovich Zel'dovich, http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/RUSMARKA-1827.jpg/220px-RUSMARKA-1827.jpg, , 1987-12-02, 10655
Mark Trodden, http://upload.wikimedia.org/wikipedia/commons/a/a8/MarkTrodden.jpg, , , 3665
Observable universe, http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Observable_Universe_with_Measurements_01.png/300px-Observable_Universe_with_Measurements_01.png, , , 50990
Jürgen Ehlers, http://upload.wikimedia.org/wikipedia/commons/0/0b/Juergen_Ehlers.jpg, 1929-12-29, 2008-05-20, 41925
Hannes Alfvén, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/YoungAlfven.jpg/200px-YoungAlfven.jpg, 1908-05-30, 1995-04-02, 21896
Paul Davies, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Paul_Davies_2016.jpg/150px-Paul_Davies_2016.jpg, 1946-04-22, , 16203
Gerson Goldhaber, http://upload.wikimedia.org/wikipedia/en/thumb/2/21/Gerson_Goldhaber-BW.jpg/220px-Gerson_Goldhaber-BW.jpg, 1924-02-20, 2010-07-19, 7102
Jamal Nazrul Islam, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Jamal_Nazrul_Islam_addressing_in_inaugural_ceremony_of_bookstall_Baatighar_cropped.jpg/220px-Jamal_Nazrul_Islam_addressing_in_inaugural_ceremony_of_bookstall_Baatighar_cropped.jpg, 1939-02-24, 2013-03-16, 12991
Jürgen Ehlers, http://upload.wikimedia.org/wikipedia/commons/0/0b/Juergen_Ehlers.jpg, 1929-12-29, 2008-05-20, 41925
Fred Hoyle, http://upload.wikimedia.org/wikipedia/en/thumb/f/ff/Fred_Hoyle.jpg/250px-Fred_Hoyle.jpg, 1915-06-24, 2001-08-20, 41672
Georges Lemaître, http://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Lemaitre.jpg/220px-Lemaitre.jpg, 1894-07-17, 1966-06-20, 28635
Dennis W. Sciama, http://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Sciama2.jpg/200px-Sciama2.jpg, 1926-11-18, , 8727
Willem de Sitter, http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/WillemDeSitter3.jpg/220px-WillemDeSitter3.jpg, 1872-05-06, 1934-11-20, 8149
Thanu Padmanabhan, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/ThanuPadmanabhan.png/220px-ThanuPadmanabhan.png, 1957-03-10, , 16421
Nicholas B. Suntzeff, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Nbs2009_02.jpg/180px-Nbs2009_02.jpg, 1952-11-22, , 11966
Robert H. Dicke, http://upload.wikimedia.org/wikipedia/en/thumb/c/cf/Robert_Henry_Dicke.jpg/220px-Robert_Henry_Dicke.jpg, 1916-05-06, 1997-03-04, 15900
Irving Segal, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Irving_Segal.jpeg/220px-Irving_Segal.jpeg, 1918-09-13, 1998-12-24, 3966
Tom Kibble, http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/TH-Head-Sakurai.jpg/220px-TH-Head-Sakurai.jpg, 1932-12-23, 2016-06-02, 11228
Lawrence M. Krauss, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Laurence_Krauss.JPG/220px-Laurence_Krauss.JPG, 1954-05-27, , 21119
Jim Peebles, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Jim_Peebles.jpg/250px-Jim_Peebles.jpg, 1935-04-25, , 7817
Alan Guth, http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/AlanGuthCambridge.jpg/220px-AlanGuthCambridge.jpg, 1947-02-27, , 17636
BOOMERanG experiment, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Boomerang_Telescope.jpeg/220px-Boomerang_Telescope.jpeg, , , 6142
