name, img, birth, death, length 
Thomas Lovejoy, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Lovejoy-crop.jpg/180px-Lovejoy-crop.jpg, , , 9614
Carlos A. Peres, http://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/22px-Flag_of_Brazil.svg.png, , , 3878
David Lack, http://upload.wikimedia.org/wikipedia/en/thumb/e/e0/David_Lack.png/220px-David_Lack.png, 1910-07-16, 1973-03-12, 14067
Ed Ricketts, http://upload.wikimedia.org/wikipedia/en/thumb/a/a9/EFRicketts.jpg/220px-EFRicketts.jpg, 1897-05-14, 1948-05-11, 26876
Robert May, Baron May of Oxford, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/BobMayHarvard.jpg/220px-BobMayHarvard.jpg, 1936-01-08, , 11064
Robert MacArthur, http://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Robert_MacArthur.jpg/220px-Robert_MacArthur.jpg, 1930-04-07, 1972-11-01, 3742
Henry Shoemaker Conard, http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, 1874-09-12, 1971-10-07, 5103
Murray Bookchin, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Murray_Bookchin.jpg/220px-Murray_Bookchin.jpg, , 2006-07-30, 31825
Stephen Alfred Forbes, http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Stephen_Alfred_Forbes_001.jpg/220px-Stephen_Alfred_Forbes_001.jpg, 1844-05-29, 1930-03-13, 8711
Pierre Dansereau, http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Pierre_Dansereau.jpg/220px-Pierre_Dansereau.jpg, 1911-10-05, 2011-09-28, 4163
Paul R. Ehrlich, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Paul_Ehrlich_-_1974.jpg/220px-Paul_Ehrlich_-_1974.jpg, 1932 -05-29, , 33341
Barry Commoner, http://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Barry_Commoner.jpg/225px-Barry_Commoner.jpg, 1917-05-28, 2012-09-30, 21498
Eugene Odum, http://upload.wikimedia.org/wikipedia/en/thumb/6/67/Eugene_Odum_by_James_Stawser.jpg/220px-Eugene_Odum_by_James_Stawser.jpg, 1913-09-17, 2002-08-10, 9198
Ilkka Hanski, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Ilkka_Hanski.jpg/220px-Ilkka_Hanski.jpg, 1953-02-14, 2016-05-10, 6754
Karl Patterson Schmidt, http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Karl_Patterson_Schmidt.jpg/220px-Karl_Patterson_Schmidt.jpg, 1890-06-19, 1957-09-26, 9222
Stephanie Peay, http://upload.wikimedia.org/wikipedia/en/thumb/8/86/StephaniePeayconf.jpg/220px-StephaniePeayconf.jpg, , , 4374
Garrett Hardin, http://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Garrett_Hardin.jpg/150px-Garrett_Hardin.jpg, , 2003-09-14, 17021
Henry Paul Hansen, http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/20px-Flag_of_the_United_States.svg.png, , 1989-10-09, 2326
