name, img, birth, death, length 
Barbara Adams (Egyptologist), http://upload.wikimedia.org/wikipedia/en/f/f5/Barbara_Georgina_Adams_FRSA.jpg, , 2002-06-26, 5215
Ludwig Borchardt, http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Ludwig_borchardt.jpg/220px-Ludwig_borchardt.jpg, 1863-10-05, 1938-08-12, 2771
James Henry Breasted, http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/James_Breasted_2.JPG/150px-James_Breasted_2.JPG, , 1935-12-02, 18864
Yosef Ben-Jochannan, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Dr_Ben.jpg/220px-Dr_Ben.jpg, 1918-12-31, 2015-03-19, 10914
Helmut Satzinger, http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/H_Satzinger.jpg/220px-H_Satzinger.jpg, 1938-01-21, , 4274
David Roberts (painter), http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/David_Roberts_%281844%29.jpg/220px-David_Roberts_%281844%29.jpg, 1796-10-24, 1864-11-25, 17078
Giovanni Battista Belzoni, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Belzoni1.jpg/150px-Belzoni1.jpg, 1778-11-05, 1823-12-03, 8236
James Peter Allen, http://upload.wikimedia.org/wikipedia/commons/f/f1/James_P._Allen.jpg, , , 2466
Cyril Aldred, http://upload.wikimedia.org/wikipedia/en/thumb/3/37/Cyril_Aldred.jpg/220px-Cyril_Aldred.jpg, 1914-02-19, 1991-06-23, 7028
Margaret Murray, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Margaret_Murray_1928c.jpg/220px-Margaret_Murray_1928c.jpg, , 1963-11-13, 86834
Karol Myśliwiec, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Karol_Mysliwiec.jpg/220px-Karol_Mysliwiec.jpg, 1943-11-03, , 2766
John Pendlebury, http://upload.wikimedia.org/wikipedia/en/thumb/4/43/John_D.S._Pendlebury.jpg/250px-John_D.S._Pendlebury.jpg, 1904-10-12, 1941-05-23, 23842
John Garstang, http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/John_Garstang_Jul_1956.jpg/150px-John_Garstang_Jul_1956.jpg, 1876-05-05, 1956-09-12, 9889
Théodule Devéria, http://upload.wikimedia.org/wikipedia/commons/e/e9/Eugene_Francois_Marie_Joseph_Deveria%2C_Portrait_of_Charles_Theodule_Deveria%2C_1864_cropped.jpg, 1831-07-01, 1871-01-31, 4264
Henri Frankfort, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Henri_Frankfort.jpg/220px-Henri_Frankfort.jpg, 1897-02-24, 1954-07-16, 4685
Karl Richard Lepsius, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Carl_Richard_Lepsius_%281810-1884%29.jpg/150px-Carl_Richard_Lepsius_%281810-1884%29.jpg, , 1884-07-10, 10528
Edwin Smith (Egyptologist), http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Edwin_Smith_%281822-1906%29_B%26W_photo_of_1847_portrait.JPG/220px-Edwin_Smith_%281822-1906%29_B%26W_photo_of_1847_portrait.JPG, , 1906-04-27, 3037
Luigi Vassalli, http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Portrait_Luigi_Vassalli.jpg/220px-Portrait_Luigi_Vassalli.jpg, 1812-01-08, 1887-06-13, 3553
Richard William Howard Vyse, http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Richard_William_Howard_Vyse.png/150px-Richard_William_Howard_Vyse.png, 1784-07-25, 1853-06-08, 9712
Jean Capart, http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Jean_Capart_%281877-1947%29.jpg/220px-Jean_Capart_%281877-1947%29.jpg, 1877-02-21, 1947-06-16, 5124
Jean Vercoutter, http://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Jean_Vercoutter.jpg/220px-Jean_Vercoutter.jpg, 1911-01-20, 2000-07-16, 4187
Charlotte Booth, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Charlotte_Booth.jpg/200px-Charlotte_Booth.jpg, 1975-04-06, , 3672
Heinrich Karl Brugsch, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Heinrich_Brugsch.jpg/220px-Heinrich_Brugsch.jpg, 1827-02-18, 1894-09-09, 6796
Bruce Trigger, http://upload.wikimedia.org/wikipedia/en/c/ca/Bruce_Trigger.jpg, 1937-06-18, 2006-12-01, 8150
George Herbert, 5th Earl of Carnarvon, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Carnarvon.jpg/200px-Carnarvon.jpg, 1866-06-26, 1923-04-05, 11979
Charles Edwin Wilbour, http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Charles_Edwin_Wilbour.jpg/220px-Charles_Edwin_Wilbour.jpg, 1833-03-17, 1896-12-17, 10108
Peter Ucko, http://upload.wikimedia.org/wikipedia/en/c/c3/Peter_Ucko.jpg, 1938-07-27, 2007-06-14, 15318
Thomas Young (scientist), http://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Thomas_Young_%28scientist%29.jpg/240px-Thomas_Young_%28scientist%29.jpg, 1773-06-13, 1829-05-10, 28066
Toby Wilkinson, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Toby_Wilkinson.jpg/220px-Toby_Wilkinson.jpg, , , 3827
Käte Bosse-Griffiths, http://upload.wikimedia.org/wikipedia/en/thumb/0/07/Bosse-Griffiths_and_Gwyn_J_Griffiths.jpg/250px-Bosse-Griffiths_and_Gwyn_J_Griffiths.jpg, , , 4281
Marcelle Werbrouck, http://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Marcelle_Werbrouck_and_group.png/220px-Marcelle_Werbrouck_and_group.png, 1889-05-23, 1959-08-01, 15165
Jean Yoyotte, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/JeanYoyotte.jpg/220px-JeanYoyotte.jpg, 1927-08-04, 2009-07-01, 2253
Zahi Hawass, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Zahi_Hawass.jpg/240px-Zahi_Hawass.jpg, 1947-05-28, , 38943
Amelia Edwards, http://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Amelia_B_Edwards_1890_in_Amerika.jpg/220px-Amelia_B_Edwards_1890_in_Amerika.jpg, , , 12238
Indiana Jones, http://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Indiana_Jones_in_Raiders_of_the_Lost_Ark.jpg/220px-Indiana_Jones_in_Raiders_of_the_Lost_Ark.jpg, , , 55440
Sarah Parcak, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Sarah_Parcak%2C_2014_%28crop%29.jpg/220px-Sarah_Parcak%2C_2014_%28crop%29.jpg, , , 6180
George Andrew Reisner, http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Portrait_of_George_Andrew_Reisner.jpg/220px-Portrait_of_George_Andrew_Reisner.jpg, , 1942-06-07, 6469
Egyptian language, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Papyrus_Ebers.png/220px-Papyrus_Ebers.png, , , 35490
Grafton Elliot Smith, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Grafton_Elliot_Smith.jpg/220px-Grafton_Elliot_Smith.jpg, 1871-08-15, 1937-01-01, 15600
Egyptian hieroglyphs, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Hieroglyphs_from_the_tomb_of_Seti_I.jpg/220px-Hieroglyphs_from_the_tomb_of_Seti_I.jpg, , , 39852
Lara Croft, http://upload.wikimedia.org/wikipedia/en/c/cb/Lara_Croft_%282013%29.png, , , 77837
Bernardino Drovetti, http://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Drovetti.jpeg/220px-Drovetti.jpeg, 1776-01-07, 1852-03-05, 4265
Émile Gaston Chassinat, http://upload.wikimedia.org/wikipedia/commons/1/18/Chassinat%281%29.png, 1868-05-05, 1948-05-26, 2724
Howard Carter, http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Howard_carter.jpg/210px-Howard_carter.jpg, 1874-05-09, 1939-03-02, 15756
Willem Pleyte, http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Willem_Pleyte.jpg/250px-Willem_Pleyte.jpg, , 1903-03-11, 7521
Hilda Petrie, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Petrie_and_Urlin_in_1903.jpg/220px-Petrie_and_Urlin_in_1903.jpg, , , 13468
Flinders Petrie, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flinders_Petrie.jpg/220px-Flinders_Petrie.jpg, 1853-06-03, 1942-07-28, 24442
Kazimierz Michałowski, http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Kazimierz_Micha%C5%82owski_MNW_03.jpg/200px-Kazimierz_Micha%C5%82owski_MNW_03.jpg, 1901-12-14, 1981-01-01, 28901
Gaston Maspero, http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Gaston_Maspero.jpg/220px-Gaston_Maspero.jpg, 1846-06-23, 1916-06-30, 10415
Ippolito Rosellini, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Ippolito_Rosellini_Museo_archeologico_Firenze.jpg/220px-Ippolito_Rosellini_Museo_archeologico_Firenze.jpg, 1800-08-13, 1843-06-04, 4787
Paul Ghalioungui, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Ain_Shams_Univ_Hospital_Paul_Gheliongy_Central_Library.jpg/220px-Ain_Shams_Univ_Hospital_Paul_Gheliongy_Central_Library.jpg, , , 34424
Kara Cooney, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Dr_Kara_Cooney_presenting_at_the_Los_Angeles_County_Museum_of_Art%2C_June_2014.JPG/220px-Dr_Kara_Cooney_presenting_at_the_Los_Angeles_County_Museum_of_Art%2C_June_2014.JPG, , , 9453
Battiscombe Gunn, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Battiscombe_Gunn%2C_Egyptologist.jpg/220px-Battiscombe_Gunn%2C_Egyptologist.jpg, 1883-06-30, 1950-02-27, 19694
Giovanni Kminek-Szedlo, http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Book_Kminek-Szedlo_01.jpg/220px-Book_Kminek-Szedlo_01.jpg, 1828-04-22, 1896-11-24, 3236
Labib Habachi, http://upload.wikimedia.org/wikipedia/commons/thumb/0/08/DeirTadrosTombHabachi.jpg/220px-DeirTadrosTombHabachi.jpg, 1906-04-18, 1994-02-18, 3789
