name, img, birth, death, length 
Cyril Clarke, http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Cyril_Astley_Clarke_%281907-2000%29.jpg/220px-Cyril_Astley_Clarke_%281907-2000%29.jpg, 1907-08-22, 2000-11-21, 6258
David Altshuler, http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/David_Altshuler.jpg/220px-David_Altshuler.jpg, , , 8263
Arturo Falaschi, http://upload.wikimedia.org/wikipedia/commons/4/44/Arturo_Falaschi_2.jpg, 1933-01-21, 2010-06-01, 4581
Baruj Benacerraf, http://upload.wikimedia.org/wikipedia/en/a/a1/Baruj_Benacerraf.jpg, 1920-10-29, 2011-08-02, 24489
Hugo de Vries, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Hugo_de_Vries.jpg/150px-Hugo_de_Vries.jpg, 1848-02-16, 1935-05-21, 17498
James F. Crow, http://upload.wikimedia.org/wikipedia/en/3/3d/James_F_Crow.jpg, 1916-01-18, 2012-01-04, 18517
Jean-Pierre Changeux, http://upload.wikimedia.org/wikipedia/commons/9/96/JPChangeux-small.jpg, 1936-04-06, , 38463
Guido Barbujani, http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Guido_Barbujani.jpg/220px-Guido_Barbujani.jpg, 1955-01-31, , 6983
Charlotte Auerbach, http://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Charlotte_Auerbach.jpg/220px-Charlotte_Auerbach.jpg, 1899-05-14, 1994-03-17, 13434
James Collins (bioengineer), http://upload.wikimedia.org/wikipedia/commons/4/4a/Jimcollins.jpg, 1965-06-26, , 10635
Linda B. Buck, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/LindaBuck_cropped_1.jpg/220px-LindaBuck_cropped_1.jpg, 1947-01-29, , 13754
Luther Burbank, http://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Luther_Burbank_cph.3a00184.jpg/180px-Luther_Burbank_cph.3a00184.jpg, 1849-03-07, 1926-04-11, 28986
Herbert McLean Evans, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Herbert_McLean_Evans_1927.jpg/220px-Herbert_McLean_Evans_1927.jpg, 1882-09-23, 1971-03-06, 5873
