name, img, birth, death, length 
Norman Johnson (mathematician), http://upload.wikimedia.org/wikipedia/commons/9/96/Norman_Johnson_%28mathematician%29.jpg, 1930-11-12, , 2001
Albert Victor Bäcklund, http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Backlund.jpg/150px-Backlund.jpg, 1845-01-11, 1922-02-23, 1738
Marcel Grossmann, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Marcel_Grossmann.png/220px-Marcel_Grossmann.png, 1878-04-09, 1936-09-07, 6001
Oswald Veblen, http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/OswaldVeblen1915.jpg/180px-OswaldVeblen1915.jpg, 1880-06-24, 1960-08-10, 6987
Harold Scott MacDonald Coxeter, http://upload.wikimedia.org/wikipedia/en/thumb/3/30/Coxeter.jpg/240px-Coxeter.jpg, 1907-02-09, 2003-03-31, 8968
Luigi Bianchi, http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Luigi_Bianchi.jpg/220px-Luigi_Bianchi.jpg, 1856-01-18, 1928-06-06, 4983
André Weil, http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Weil.jpg/220px-Weil.jpg, 1906-05-06, 1998-08-06, 19347
Benoit Mandelbrot, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Benoit_Mandelbrot%2C_TED_2010.jpg/220px-Benoit_Mandelbrot%2C_TED_2010.jpg, 1924-11-20, 2010-10-14, 31694
Ernst Witt, http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Ernst_Witt.jpeg/220px-Ernst_Witt.jpeg, 1911-06-26, 1991-07-03, 3126
Rudy Rucker, http://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Rudyrucker.jpg/222px-Rudyrucker.jpg, 1946-03-22, , 7883
Élie Cartan, http://upload.wikimedia.org/wikipedia/en/thumb/e/e8/Elie_Cartan.jpg/220px-Elie_Cartan.jpg, 1869-04-09, 1951-05-06, 12551
Robert Williams (geometer), http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Robert_Williams_lecturing_in_2009.JPG/180px-Robert_Williams_lecturing_in_2009.JPG, , , 12015
Jean-Louis Koszul, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Jean-Louis_Koszul.jpg/220px-Jean-Louis_Koszul.jpg, 1921-01-03, , 1784
Enrico Bombieri, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/EnricoBombieri.jpg/100px-EnricoBombieri.jpg, 1940-11-26, , 8591
Ernst Steinitz, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Tombstone_Ernst_Steinitz_Wroclaw.png/220px-Tombstone_Ernst_Steinitz_Wroclaw.png, 1871-06-13, 1928-09-29, 3410
Abu al-Wafa' Buzjani, http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Buzjani%2C_the_Persian.jpg/200px-Buzjani%2C_the_Persian.jpg, 940-06-10, , 12000
László Fejes Tóth, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/L%C3%A1szl%C3%B3_Fejes_T%C3%B3th-1991-Head_shot.png/100px-L%C3%A1szl%C3%B3_Fejes_T%C3%B3th-1991-Head_shot.png, 1915-03-12, 2005-03-17, 17839
Robin Hartshorne, http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Robin_Hartshorne2.jpg/220px-Robin_Hartshorne2.jpg, 1938-03-15, , 2458
Rafael Artzy, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Artzy_rafael.jpg/220px-Artzy_rafael.jpg, 1912-07-23, 2006-08-23, 3358
Phillip Griffiths, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Philip_Griffiths.jpeg/220px-Philip_Griffiths.jpeg, 1938-10-18, , 7834
John Horton Conway, http://upload.wikimedia.org/wikipedia/commons/thumb/0/04/John_H_Conway_2005_%28cropped%29.jpg/220px-John_H_Conway_2005_%28cropped%29.jpg, 1937-12-26, , 19501
Johann Benedict Listing, http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/J-B-Listing.jpg/220px-J-B-Listing.jpg, , , 1865
Sofia Kovalevskaya, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Sofja_Wassiljewna_Kowalewskaja_1.jpg/220px-Sofja_Wassiljewna_Kowalewskaja_1.jpg, 1850-01-15, 1891-02-10, 16921
Nikolai Lobachevsky, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Lobachevsky.jpg/225px-Lobachevsky.jpg, , , 14545
Otto Hesse, http://upload.wikimedia.org/wikipedia/commons/6/65/Ludwig_Otto_Hesse.jpg, 1811-04-22, 1874-08-04, 4393
John Playfair, http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/John_Playfair_by_Sir_Henry_Raeburn.jpg/220px-John_Playfair_by_Sir_Henry_Raeburn.jpg, 1748-03-10, 1819-07-20, 8542
William Kingdon Clifford, http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Clifford_William_Kingdon.jpg/300px-Clifford_William_Kingdon.jpg, 1845-05-04, , 27978
Richard Dedekind, http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Richard_Dedekind_1900s.jpg/220px-Richard_Dedekind_1900s.jpg, 1831-10-06, 1916-02-12, 12025
Julius Plücker, http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Julius_Pl%C3%BCcker.jpg/220px-Julius_Pl%C3%BCcker.jpg, 1801-06-16, 1868-05-22, 8042
Felix Klein, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Felix_Klein.jpeg/220px-Felix_Klein.jpeg, 1849-04-25, 1925-06-22, 21237
Aleksandr Danilovich Aleksandrov, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Aleksandr_Danilovich_Aleksandrov_1952.jpg/200px-Aleksandr_Danilovich_Aleksandrov_1952.jpg, 1912-08-04, 1999-07-27, 8664
Hermann Minkowski, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/De_Raum_zeit_Minkowski_Bild.jpg/220px-De_Raum_zeit_Minkowski_Bild.jpg, 1864-06-22, 1909-01-12, 12772
Arthur Cayley, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Arthur_Cayley.jpg/240px-Arthur_Cayley.jpg, 1821-08-16, 1895-01-26, 15886
