name, img, birth, death, length 
Arthur Holmes, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Arthurholmesin1912.jpg/220px-Arthurholmesin1912.jpg, 1890-01-14, 1965-09-20, 8688
Beno Gutenberg, http://upload.wikimedia.org/wikipedia/commons/9/9a/Beno_Gutenberg.jpg, , 1960-01-26, 5134
Loránd Eötvös, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Roland_Eotvos.jpg/150px-Roland_Eotvos.jpg, , 1919-04-08, 8321
Reginald Aldworth Daly, http://upload.wikimedia.org/wikipedia/en/thumb/0/09/RA_Daly.jpg/220px-RA_Daly.jpg, , 1957-09-20, 9641
Eratosthenes, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Eratosthene.01.png/220px-Eratosthene.01.png, , , 29372
Maurice Ewing, http://upload.wikimedia.org/wikipedia/en/3/32/M.Ewing-1948.jpg, 1906-05-12, 1974-05-04, 5986
Walter Hermann Bucher, http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, 1888-03-12, 1965-02-17, 7030
Jean-Jacques d'Ortous de Mairan, http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Miger_-_Dortous_de_Mairan-transparent.png/150px-Miger_-_Dortous_de_Mairan-transparent.png, , 1771-02-21, 11102
Harald Sverdrup (oceanographer), http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Harald_Ulrik_Sverdrup.jpg/220px-Harald_Ulrik_Sverdrup.jpg, 1888-11-15, 1957-08-21, 3646
Motonori Matuyama, http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Motonori_Matuyama.png/220px-Motonori_Matuyama.png, , 1958-01-28, 3977
Michael Schoenberg, http://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Mike_Schoenberg.jpg/200px-Mike_Schoenberg.jpg, , , 5764
European Geosciences Union, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/EGU_plain_blue_logo.svg/200px-EGU_plain_blue_logo.svg.png, 2002-09-07, , 7900
Scott Forbush, http://upload.wikimedia.org/wikipedia/en/thumb/7/71/Scott_Forbush.JPG/220px-Scott_Forbush.JPG, 1904-04-10, 1984-04-04, 8717
Christopher Hansteen, http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Christopher_hansteen.jpg/220px-Christopher_hansteen.jpg, 1784-11-26, 1873-04-11, 8934
Petr Vaníček, http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Petr_Vanicek.jpg/220px-Petr_Vanicek.jpg, , , 6675
Harsh Gupta, http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Harsh_Gupta.jpg/220px-Harsh_Gupta.jpg, 1942-06-28, , 10756
Seismological Society of America, http://upload.wikimedia.org/wikipedia/en/thumb/5/55/Seismological_Society_of_America_%28logo%29.jpg/220px-Seismological_Society_of_America_%28logo%29.jpg, , , 3079
Don L. Anderson, http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Don_L._Anderson_portrait_photo.jpg/220px-Don_L._Anderson_portrait_photo.jpg, 1933-03-05, 2014-12-02, 30253
Akitsune Imamura, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Akitsune_Imamura2.jpg/180px-Akitsune_Imamura2.jpg, , , 1913
Robert Were Fox the Younger, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Fox_Robert_Were_Younger.jpg/150px-Fox_Robert_Were_Younger.jpg, , 1877-07-26, 12127
William Gilbert (astronomer), http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/William_Gilbert_45626i.jpg/220px-William_Gilbert_45626i.jpg, , 1603-11-30, 17886
James Freeman Gilbert, http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Grandad.png/220px-Grandad.png, 1931-08-09, 2014-08-15, 3956
Harry Hammond Hess, http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Hess.gif/150px-Hess.gif, , , 13774
Andrija Mohorovičić, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%E0%B8%A0%E0%B8%B2%E0%B8%9E%E0%B8%96%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%82%E0%B8%AD%E0%B8%87Andria_Mohorovicic.gif/220px-%E0%B8%A0%E0%B8%B2%E0%B8%9E%E0%B8%96%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%82%E0%B8%AD%E0%B8%87Andria_Mohorovicic.gif, , 1936-12-18, 11884
Marcia Neugebauer, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Marcia_Neugebauer_JPL_NASA_Circa_1962.jpg/220px-Marcia_Neugebauer_JPL_NASA_Circa_1962.jpg, 1932-09-27, , 3539
Hannes Alfvén, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/YoungAlfven.jpg/200px-YoungAlfven.jpg, 1908-05-30, 1995-04-02, 21896
Sydney Chapman (mathematician), http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Sydney_Chapman.jpg/220px-Sydney_Chapman.jpg, 1888-01-29, 1970-06-16, 11684
Henry William Menard, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Henry_William_Menard.jpg/220px-Henry_William_Menard.jpg, 1920-12-101978, 1986-02-09, 5249
Louis Néel, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Louis_Neel_1970.jpg/220px-Louis_Neel_1970.jpg, 1904-11-22, 2000-11-17, 10077
William Bowie (engineer), http://upload.wikimedia.org/wikipedia/en/6/61/William_Bowie_NOAA.jpg, , 1940-08-29, 3526
Luigi Palmieri, http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Luigi_Palmieri.png/150px-Luigi_Palmieri.png, , 1896-09-10, 2917
