name, img, birth, death, length 
Paul-Émile Botta, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/WP_Paul-%C3%89mile_Botta.jpg/220px-WP_Paul-%C3%89mile_Botta.jpg, 1802-12-06, 1870-03-29, 10940
Jeff Corwin, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Jeff_Corwin_2006_06_24.png/220px-Jeff_Corwin_2006_06_24.png, 1967-07-11, , 9359
Eduard Rüppell, http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/R%C3%BCppell_Eduard_1794-1844.png/250px-R%C3%BCppell_Eduard_1794-1844.png, , 1884-12-11, 2900
Constantine Samuel Rafinesque, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Rafinesque_Constantine_Samuel_1783-1840.png/150px-Rafinesque_Constantine_Samuel_1783-1840.png, , 1840-09-18, 25230
Leslie Rissler, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Rissler_frog_Borneo.jpg/400px-Rissler_frog_Borneo.jpg, 1969-05-11, , 7008
Edward Drinker Cope, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Cope_Edward_Drinker_1840-1897.jpg/220px-Cope_Edward_Drinker_1840-1897.jpg, 1840-07-28, 1897-04-12, 56042
Robert Broom, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Robert_Broom00.jpg/220px-Robert_Broom00.jpg, 1866-11-30, 1951-04-06, 7112
Jean Victoire Audouin, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Victor_Audouin.jpg/220px-Victor_Audouin.jpg, 1797-04-27, 1841-11-09, 4579
Lars Gabriel Andersson, http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Andersson_Lars_Gabriel_1868-1951.png/220px-Andersson_Lars_Gabriel_1868-1951.png, , 1951-02-14, 2558
Ulisse Aldrovandi, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Ulysse_Aldrovandi.jpg/200px-Ulysse_Aldrovandi.jpg, , 1605-05-04, 9139
Edward Blyth, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/EdwardBlyth.jpg/220px-EdwardBlyth.jpg, 1810-12-23, 1873-12-27, 16408
William Thomas Blanford, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/WTBlanford.jpg/220px-WTBlanford.jpg, 1832-10-07, 1905-06-23, 10198
Sathyabhama Das Biju, http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Dr._Sathyabhama_Das_Biju.jpg/220px-Dr._Sathyabhama_Das_Biju.jpg, , , 8659
Spencer Fullerton Baird, http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Portrait_of_Spencer_Fullerton_Baird_-_1867.jpg/200px-Portrait_of_Spencer_Fullerton_Baird_-_1867.jpg, 1823-02-03, 1887-08-19, 19304
Carlos Berg, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Berg_Carlos_1843-1902.png/220px-Berg_Carlos_1843-1902.png, 1843-04-021902-01-19, , 3424
Henri Marie Ducrotay de Blainville, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Henri_Marie_Ducrotay_de_Blainville.jpg/220px-Henri_Marie_Ducrotay_de_Blainville.jpg, 1777-12-12, 1850-05-01, 3839
Ross Allen (herpetologist), http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Ross_allen_from_florida_memory.jpg/250px-Ross_allen_from_florida_memory.jpg, , 1981-05-18, 7223
Pieter Bleeker, http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Pieter_Bleeker.jpg/220px-Pieter_Bleeker.jpg, 1819-07-10, 1870-11-12, 4439
Johann Friedrich von Brandt, http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Johann-Friedrich-Brandt.jpg/220px-Johann-Friedrich-Brandt.jpg, 1802-05-25, 1879-06-15, 5159
Charles Lucien Bonaparte, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Bonaparte_Charles_Lucien_1803-1857.png/150px-Bonaparte_Charles_Lucien_1803-1857.png, 1803-05-24, 1857-07-29, 11928
