name, img, birth, death, length 
Wilhelm Ackermann, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Ackermann_Wilhelm.jpg/250px-Ackermann_Wilhelm.jpg, 1896-03-29, 1962-12-24, 3105
Theodore Slaman, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Ted_Slaman.jpg/220px-Ted_Slaman.jpg, 1954-04-17, , 1387
Georg Henrik von Wright, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/GHvonWright.jpg/220px-GHvonWright.jpg, , 2003-06-16, 6431
Isaac Watts, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Isaac_Watts_from_NPG.jpg/220px-Isaac_Watts_from_NPG.jpg, 1674-07-17, 1748-11-25, 20841
Ronald Jensen, http://upload.wikimedia.org/wikipedia/commons/thumb/6/61/RJensen.jpg/200px-RJensen.jpg, 1936-04-01, , 2676
Alexander S. Kechris, http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Kechris.jpg/220px-Kechris.jpg, 1946-03-23, , 2502
Friedrich Adolf Trendelenburg, http://upload.wikimedia.org/wikipedia/commons/b/b5/Trendelenburg.jpg, 1802-11-30, 1872-01-24, 12004
Leo Harrington, http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Leo_Harrington.jpg/220px-Leo_Harrington.jpg, 1946-05-17, , 1443
George Boolos, http://upload.wikimedia.org/wikipedia/en/4/4e/George_Boolos.jpg, 1940-09-04, 1996-05-27, 14515
William Craig (philosopher), http://upload.wikimedia.org/wikipedia/commons/thumb/0/08/WilliamCraig1977.jpg/220px-WilliamCraig1977.jpg, 1918-11-13, 2016-01-13, 1701
Newton da Costa, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Newton_da_Costa.jpg/200px-Newton_da_Costa.jpg, 1929-09-16, , 9804
Marsilius of Inghen, http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Marsilius_von_Inghen.jpg/220px-Marsilius_von_Inghen.jpg, , , 11736
Gerhard Gentzen, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Gerhard_Gentzen.jpg/220px-Gerhard_Gentzen.jpg, 1909-11-24, 1945-08-04, 7360
Abraham Fraenkel, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Adolf_Abraham_Halevi_Fraenkel.jpg/250px-Adolf_Abraham_Halevi_Fraenkel.jpg, 1891-02-17, 1965-10-15, 10782
Bjarni Jónsson, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Bjarni_J%C3%B3nsson.jpg/220px-Bjarni_J%C3%B3nsson.jpg, 1920-02-15, 2016-09-30, 2237
Jan Łukasiewicz, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Jan_%C5%81ukasiewicz.jpg/220px-Jan_%C5%81ukasiewicz.jpg, , 1956-02-13, 13504
Christine Ladd-Franklin, http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Christine_Ladd-Franklin_%281847-1930%29.jpg/220px-Christine_Ladd-Franklin_%281847-1930%29.jpg, , , 14626
Michael Fourman, http://upload.wikimedia.org/wikipedia/en/thumb/0/00/Michael_Fourman_July_2006.jpg/150px-Michael_Fourman_July_2006.jpg, 1950-09-12, , 5068
Yuri Matiyasevich, http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Yuri_Matiyasevich._Portrait_1969.jpg/220px-Yuri_Matiyasevich._Portrait_1969.jpg, 1947-03-02, , 5621
Robert Kilwardby, http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Robert_Kilwardby.jpg/220px-Robert_Kilwardby.jpg, , , 12585
L. E. J. Brouwer, http://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Luitzen_Egbertus_Jan_Brouwer.jpeg/179px-Luitzen_Egbertus_Jan_Brouwer.jpeg, 1881-02-27, 1966-12-02, 12130
Ernst Zermelo, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Ernst_Zermelo_1900s.jpg/220px-Ernst_Zermelo_1900s.jpg, 1871-07-27, 1953-05-21, 9041
Christian Wolff (philosopher), http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Christian_Wolff.jpg/220px-Christian_Wolff.jpg, 1679-01-24, 1754-04-09, 17211
John Venn, http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/John_Venn.jpg/220px-John_Venn.jpg, 1834-08-04, 1923-04-04, 8436
Matthew Foreman, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Matt_Foreman.jpg/220px-Matt_Foreman.jpg, 1957-03-21, , 5991
Robert Lawson Vaught, http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/RobertVaught.jpg/220px-RobertVaught.jpg, 1926-04-04, 2002-04-02, 3685
Lotfi A. Zadeh, http://upload.wikimedia.org/wikipedia/commons/a/a3/Zadeh-barcelona-1997%4092x115.gif, 1921-02-04, , 22110
Piergiorgio Odifreddi, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Piergiorgio_Odifreddi_-_Trento_2012_02.JPG/220px-Piergiorgio_Odifreddi_-_Trento_2012_02.JPG, 1950-07-13, , 7528
Kazimierz Ajdukiewicz, http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Prof._Kazimierz_Ajdukiewicz.jpg/220px-Prof._Kazimierz_Ajdukiewicz.jpg, , 1963-04-13, 3727
Bernard Bolzano, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Bernard_Bolzano.jpg/220px-Bernard_Bolzano.jpg, 1781-10-05, 1848-12-18, 31526
Paul Bernays, http://upload.wikimedia.org/wikipedia/commons/6/68/PaulBernays_1949_MFO.jpg, 1888-10-17, 1977-09-18, 7821
Alonzo Church, http://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Alonzo_Church.jpg/220px-Alonzo_Church.jpg, 1903-06-14, 1995-08-11, 8205
Stephen Cole Kleene, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Kleene.jpg/220px-Kleene.jpg, 1909-01-05, 1994-01-25, 17558
Jack Copeland, http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Jack_Copeland_IMG_2109.jpg/220px-Jack_Copeland_IMG_2109.jpg, , , 4876
S. Barry Cooper, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Barry_Cooper.jpg/220px-Barry_Cooper.jpg, 1943-10-09, 2015-10-26, 4444
Jacques Herbrand, http://upload.wikimedia.org/wikipedia/commons/4/47/Herbrand.jpg, 1908-02-12, 1931-07-27, 4100
Robert Kowalski, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Robert_Kowalski.jpg/220px-Robert_Kowalski.jpg, 1941-05-15, , 6017
Leopold Kronecker, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Leopold_Kronecker_1865.jpg/220px-Leopold_Kronecker_1865.jpg, 1823-12-07, 1891-12-29, 10112
Joachim Lambek, http://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Lambek_Joachim.jpg/220px-Lambek_Joachim.jpg, 1922-12-05, 2014-06-23, 4503
David Hilbert, http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Hilbert.jpg/220px-Hilbert.jpg, 1862-01-23, 1943-02-14, 40535
William Stanley Jevons, http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Picture_of_jevons.jpg/220px-Picture_of_jevons.jpg, 1835-09-01, 1882-08-13, 35934
Moshe Vardi, http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Moshe_Vardi_IMG_0010.jpg/220px-Moshe_Vardi_IMG_0010.jpg, 1954-07-04, , 6724
Richard Whately, http://upload.wikimedia.org/wikipedia/commons/e/e3/Richard_Whately.jpg, 1787-02-01, 1863-10-08, 22383
Raphael M. Robinson, http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Raphael_M._Robinson.jpg/220px-Raphael_M._Robinson.jpg, 1911-11-02, 1995-01-27, 3917
Abraham Robinson, http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Robinson_abraham_1970.jpg/220px-Robinson_abraham_1970.jpg, 1918-10-06, 1974-04-11, 6179
Helena Rasiowa, http://upload.wikimedia.org/wikipedia/en/f/fd/Helena_Rasiowa.jpg, 1917-06-20, 1994-08-09, 4416
Moses Schönfinkel, http://upload.wikimedia.org/wikipedia/commons/9/97/Schonfinkel.gif, 1889-09-04, , 4749
Michael O. Rabin, http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/M_O_Rabin.jpg/220px-M_O_Rabin.jpg, 1931-09-01, , 12110
Alcuin, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Raban-Maur_Alcuin_Otgar.jpg/220px-Raban-Maur_Alcuin_Otgar.jpg, , , 33342
John Corcoran (logician), http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/John_Corcoran_Logician2.jpg/220px-John_Corcoran_Logician2.jpg, , , 21655
Saharon Shelah, http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Saharon_Shelah.jpg/200px-Saharon_Shelah.jpg, 1945-07-03, , 10040
Vladimir Andreyevich Uspensky, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Vladimir-uspensky.jpg/220px-Vladimir-uspensky.jpg, , , 2922
Mojżesz Presburger, http://upload.wikimedia.org/wikipedia/en/8/8d/Moj%C5%BCesz_Presburger.jpg, 1904-12-27, , 2666
James Earl Baumgartner, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/James_Baumgartner.jpeg/225px-James_Baumgartner.jpeg, 1943-03-23, 2011-12-28, 3719
Dana Scott, http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Scott_Dana_small.jpg/220px-Scott_Dana_small.jpg, 1932-10-11, , 12723
Ahmed Raza Khan Barelvi, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Imamahmedrazakhan.png/220px-Imamahmedrazakhan.png, , 1921-10-28, 31403
Jaakko Hintikka, http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Hintikka_2.jpg/220px-Hintikka_2.jpg, 1929-01-12, 2015-08-12, 14525
Arend Heyting, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Arend_Heyting_%281967%29.jpg/220px-Arend_Heyting_%281967%29.jpg, 1898-05-09, 1980-07-09, 3978
Susan Haack, http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Susan_Haack.JPG/220px-Susan_Haack.JPG, , , 11116
Augustus De Morgan, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/De_Morgan_Augustus.jpg/200px-De_Morgan_Augustus.jpg, 1806-06-27, 1871-03-18, 49104
Alan Bundy, http://upload.wikimedia.org/wikipedia/en/thumb/0/02/Alan.Bundy.Image.jpg/220px-Alan.Bundy.Image.jpg, 1947-05-18, , 7030
Gottlob Frege, http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Young_frege.jpg/220px-Young_frege.jpg, , 1925-07-26, 38416
Martin Davis, http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Martin_Davis.jpg/200px-Martin_Davis.jpg, , , 5548
Chrysippus, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Chrysippos_BM_1846.jpg/200px-Chrysippos_BM_1846.jpg, , , 38878
Ramon Llull, http://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ramon_Llull.jpg/220px-Ramon_Llull.jpg, , , 37151
Kurt Gödel, http://upload.wikimedia.org/wikipedia/en/4/42/Kurt_g%C3%B6del.jpg, 1906-04-28, 1978-01-14, 45254
Jean van Heijenoort, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/TrotskiEnM%C3%A9jicoEn1937.jpeg/220px-TrotskiEnM%C3%A9jicoEn1937.jpeg, 1912-07-23, 1986-03-29, 9343
Michael Dummett, http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Michael_Dummett_September_2004.jpg/220px-Michael_Dummett_September_2004.jpg, 1925-06-27, 2011-12-27, 24675
Ruth Barcan Marcus, http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Ruth_Barcan_Marcus.jpg/220px-Ruth_Barcan_Marcus.jpg, 1921-08-02, 2012-02-19, 11604
Per Martin-Löf, http://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Per_MartinLoef.jpg/200px-Per_MartinLoef.jpg, 1942-05-08, , 20988
Giuseppe Peano, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Giuseppe_Peano.jpg/220px-Giuseppe_Peano.jpg, 1858-08-27, 1932-04-20, 11776
Stanisław Leśniewski, http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Stanis%C5%82aw_Le%C5%9Bniewski.jpg/220px-Stanis%C5%82aw_Le%C5%9Bniewski.jpg, 1886-03-30, 1939-05-13, 6033
Johann Heinrich Lambert, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/JHLambert.jpg/200px-JHLambert.jpg, 1728-08-26, 1777-09-25, 13643
Thoralf Skolem, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/ThoralfSkolem-OB.F06426c.jpg/220px-ThoralfSkolem-OB.F06426c.jpg, 1887-05-23, 1963-03-23, 10349
Paul Lorenzen, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Paullorenzen.jpg/220px-Paullorenzen.jpg, , 1994-11, 3628
Frank P. Ramsey, http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Frank_Plumpton_Ramsey.JPG/200px-Frank_Plumpton_Ramsey.JPG, 1903-02-22, 1930-01-19, 20819
W. Hugh Woodin, http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Hugh_Woodin.jpg/250px-Hugh_Woodin.jpg, 1955-04-23, , 3267
Kazimierz Twardowski, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Kazimierz_Twardowski_1933.jpg/220px-Kazimierz_Twardowski_1933.jpg, 1866-10-20, 1938-02-11, 7724
