name, img, birth, death, length 
Balfour Currie, http://upload.wikimedia.org/wikipedia/en/thumb/3/3b/BalfourCurrie1.jpg/220px-BalfourCurrie1.jpg, 1902-11-01, 1981-01-08, 3514
Robert Davies-Jones, http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Nssl0152.jpg/220px-Nssl0152.jpg, , , 1921
Ted Fujita, http://upload.wikimedia.org/wikipedia/commons/b/b9/Thetsuya_Theodore_Fijuta.jpg, 1920-10-23, 1998-11-19, 7792
William Morris Davis, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/William_Morris_Davis.jpg/220px-William_Morris_Davis.jpg, 1850-02-12, 1934-02-05, 8946
C. H. D. Buys Ballot, http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Christophorus_Henricus_Diedericus_Buys-Ballot.jpg/150px-Christophorus_Henricus_Diedericus_Buys-Ballot.jpg, , 1890-02-04, 4556
John Park Finley, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/John_Park_Finley_in_1913.jpg/220px-John_Park_Finley_in_1913.jpg, , 1943-11-24, 3367
Milutin Milanković, http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Milutin_Milankovi%C4%87.jpg/220px-Milutin_Milankovi%C4%87.jpg, 1879-05-28, 1958-12-12, 39852
Lewis Fry Richardson, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Lewis_Fry_Richardson.png/220px-Lewis_Fry_Richardson.png, 1881-10-11, 1953-09-30, 21018
Erik N. Rasmussen, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Rasmussen_Eric_02.jpg/220px-Rasmussen_Eric_02.jpg, 1957-01-27, , 5200
John Hope (meteorologist), http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/20px-Flag_of_the_United_States.svg.png, , , 3507
William John Macquorn Rankine, http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Rankine_William_signature.jpg/220px-Rankine_William_signature.jpg, 1820-07-05, 1872-12-24, 15265
G. I. Taylor, http://upload.wikimedia.org/wikipedia/en/f/f2/G_I_Taylor.jpg, 1886-03-07, 1975-06-27, 10554
Tony Perkins (news anchor), http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Tony_Perkins_2016.jpg/220px-Tony_Perkins_2016.jpg, 1959-08-25, , 2525
Harold Taft, http://upload.wikimedia.org/wikipedia/en/thumb/1/12/HaroldTaft.jpg/220px-HaroldTaft.jpg, 1922-09-05, 1991-09-27, 5998
Harold E. Brooks, http://upload.wikimedia.org/wikipedia/commons/6/6f/Harold_Brooks_portrait.jpg, 1959-03-11, , 2505
Ron Przybylinski, http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Ron_Pryzybylinski.jpg/200px-Ron_Pryzybylinski.jpg, 1953-09-15, 2015-03-12, 4812
Gary England, http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Gary_England_headshot%2C_KWTV.jpg/220px-Gary_England_headshot%2C_KWTV.jpg, 1939-10-03, , 10598
Spencer Christian, http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Spencer_Christian_in_2012.jpg/220px-Spencer_Christian_in_2012.jpg, 1947-07-23, , 4604
Al Roker, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Al_Roker_in_May_2015.jpg/300px-Al_Roker_in_May_2015.jpg, 1954-08-20, , 24913
John Dalton, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/John_Dalton_by_Charles_Turner.jpg/240px-John_Dalton_by_Charles_Turner.jpg, 1766-09-06, 1844-07-27, 31831
Robert FitzRoy, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Robert_Fitzroy.jpg/220px-Robert_Fitzroy.jpg, 1805-07-05, 1865-04-30, 33068
Léon Teisserenc de Bort, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/L%C3%A9on_Teisserenc_de_Bort.jpg/150px-L%C3%A9on_Teisserenc_de_Bort.jpg, 1855-11-05, 1913-01-02, 4659
George James Symons, http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/GeorgeJamesSymons%281838-1900%29.JPG/150px-GeorgeJamesSymons%281838-1900%29.JPG, , 1900-03-11, 5794
Francis Galton, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Francis_Galton_1850s.jpg/220px-Francis_Galton_1850s.jpg, 1822-02-16, 1911-01-17, 45825
Luke Howard, http://upload.wikimedia.org/wikipedia/commons/1/14/Luke_Howard.jpg, , 21 March 1864, 8161
Edmond Halley, http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Edmond_Halley_072.jpg/220px-Edmond_Halley_072.jpg, , , 24473
Cleveland Abbe, http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Cleveland_Abbe.jpg/220px-Cleveland_Abbe.jpg, , 1916-10-28, 20225
Shen Kuo, http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Shen_Kua.JPG/280px-Shen_Kua.JPG, , , 81089
Wladimir Köppen, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wladimir_Peter_K%C3%B6ppen.jpg/220px-Wladimir_Peter_K%C3%B6ppen.jpg, , 1940-06-22, 5832
Johannes Letzmann, http://upload.wikimedia.org/wikipedia/commons/1/1e/Johannes_Letzmann.jpg, 1885-07-19, 1971-05-21, 3669
Horace R. Byers, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Hall-Meng-Byers.gif/220px-Hall-Meng-Byers.gif, 1906-03-12, 1998-05-22, 3194
Rich Fields, http://upload.wikimedia.org/wikipedia/commons/f/fe/B_Hilton1.jpg, 1960-11-30, , 4443
John William Strutt, 3rd Baron Rayleigh, http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/John_William_Strutt.jpg/220px-John_William_Strutt.jpg, 1842-11-12, 1919-06-30, 18356
Jean-André Deluc, http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Jean-Andr%C3%A9_Deluc.jpg/220px-Jean-Andr%C3%A9_Deluc.jpg, 1727-02-08, 1817-11-07, 13131
Jacob Bjerknes, http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Jacob_bjerknes_headshot.jpg/220px-Jacob_bjerknes_headshot.jpg, 1897-11-02, 1975-07-07, 5532
Kerry Emanuel, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Kerry_Emanuel_by_Gage_Skidmore.jpg/220px-Kerry_Emanuel_by_Gage_Skidmore.jpg, 1955-04-21, , 4478
William M. Gray, http://upload.wikimedia.org/wikipedia/en/thumb/6/63/William_M._Gray_%28meteorologist%29.png/220px-William_M._Gray_%28meteorologist%29.png, 1929-10-09, 2016-04-16, 12564
Robert Simpson (meteorologist), http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Simpson_%26_Gentry_at_ROB.jpg/220px-Simpson_%26_Gentry_at_ROB.jpg, 1912-11-19, 2014-12-18, 9115
Charles F. Marvin, http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Charles_f_marvin.jpg/250px-Charles_f_marvin.jpg, , 1943-06-05, 1552
Christopher Landsea, http://upload.wikimedia.org/wikipedia/commons/0/04/Christopher_Landsea_NOAA.jpg, , , 5324
Patrick McTaggart-Cowan, http://upload.wikimedia.org/wikipedia/en/thumb/d/da/Patrick_McTaggart-Cowan_1964.jpg/220px-Patrick_McTaggart-Cowan_1964.jpg, 1912-05-31, 1997-10-11, 2153
Edward Norton Lorenz, http://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Edward_lorenz.jpg/180px-Edward_lorenz.jpg, 1917-05-23, 2008-04-16, 12168
Alfred Wegener, http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Alfred_Wegener_ca.1924-30.jpg/220px-Alfred_Wegener_ca.1924-30.jpg, 1880-11-01, , 27159
Vagn Walfrid Ekman, http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Ekman_Vagn.jpg/150px-Ekman_Vagn.jpg, 1874-05-03, 1954-03-09, 2381
Charles A. Doswell III, http://upload.wikimedia.org/wikipedia/commons/f/f3/Charles_Doswell.jpg, 1945-11-05, , 2583
Willard Scott, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Willard_Scott_Crop.jpg/220px-Willard_Scott_Crop.jpg, 1934-03-07, , 14000
Sverre Petterssen, http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Sverre_Petterssen.png/220px-Sverre_Petterssen.png, 1898-02-19, 1974-12-31, 5810
Joshua Wurman, http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Josh_Wurman_in_DOW.jpg/250px-Josh_Wurman_in_DOW.jpg, 1960-10-01, , 7341
Siân Lloyd, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Si%C3%A2n_Lloyd_%28weather_presenter%29.jpg/220px-Si%C3%A2n_Lloyd_%28weather_presenter%29.jpg, 1958-07-03, , 6954
Colleen Jones, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Gold_medal_icon_%28G_initial%29.svg/16px-Gold_medal_icon_%28G_initial%29.svg.png, 1959-12-16, , 10885
Vilhelm Bjerknes, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Vilhelm_Bjerknes_Bust_01.jpg/220px-Vilhelm_Bjerknes_Bust_01.jpg, 1862-03-14, 1951-04-09, 7422
Roger Wakimoto, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Nssl0357_-_Flickr_-_NOAA_Photo_Library.jpg/220px-Nssl0357_-_Flickr_-_NOAA_Photo_Library.jpg, 1953-12-11, , 4577
David Letterman, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/David_Letterman_with_his_Individual_Peabody_at_the_75th_Annual_Peabody_Awards_%28cropped%29.jpg/220px-David_Letterman_with_his_Individual_Peabody_at_the_75th_Annual_Peabody_Awards_%28cropped%29.jpg, 1947-04-12, , 89093
The Weather Channel, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/The_Weather_Channel_logo_2005-present.svg/100px-The_Weather_Channel_logo_2005-present.svg.png, 1982-05-02, , 72849
The Weather Channel, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/The_Weather_Channel_logo_2005-present.svg/100px-The_Weather_Channel_logo_2005-present.svg.png, 1982-05-02, , 72849
Aristotle, http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Aristotle_Altemps_Inv8575.jpg/220px-Aristotle_Altemps_Inv8575.jpg, , , 112548
Benjamin Franklin, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/BenFranklinDuplessis.jpg/220px-BenFranklinDuplessis.jpg, 1706-01-17, 1790-04-17, 146850
