name, img, birth, death, length 
William H. Phelps Jr., http://upload.wikimedia.org/wikipedia/en/thumb/8/83/William_H._Phelps_Tucker.jpg/250px-William_H._Phelps_Tucker.jpg, 1902-12-25, 1988-08-13, 3961
Edward Newton, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Newton_Edward_1832-1897.jpg/220px-Newton_Edward_1832-1897.jpg, 1832-11-10, 1897-04-25, 1991
Charles Wallace Richmond, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/CharlesWRichmond.jpg/220px-CharlesWRichmond.jpg, 1868-12-31, 1932-05-19, 3538
Alfred Newton, http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Alfred_Newton72.jpg/220px-Alfred_Newton72.jpg, 1829-06-11, 1907-06-07, 18332
Peter Simon Pallas, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Pallas_PS_by_Tardier_grey.jpg/220px-Pallas_PS_by_Tardier_grey.jpg, , 1811-09-08, 10745
Clinton Hart Merriam, http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Picture_of_Clinton_Hart_Merriam.jpg/220px-Picture_of_Clinton_Hart_Merriam.jpg, 1855-12-05, 1942-03-19, 19303
George Montagu (naturalist), http://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Montagu_George_1751-1815.png/220px-Montagu_George_1751-1815.png, , , 4115
Eugene W. Oates, http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/EWOates1908.jpg/220px-EWOates1908.jpg, 1845-12-31, 1911-11-16, 2133
Margaret Morse Nice, http://upload.wikimedia.org/wikipedia/en/f/fc/Margaret_Morse_Nice.jpg, , 1974-06-26, 11824
Robert Ridgway, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Robert_Ridgway_sitting.jpg/220px-Robert_Ridgway_sitting.jpg, 1850-07-02, 1929-03-25, 37520
José Vicente Barbosa du Bocage, http://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Barbosa-du-bocage-jv.jpg/220px-Barbosa-du-bocage-jv.jpg, , 1907-11-04, 4589
Robert Gillmor, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Robert_Gillmor_2010-03-23.jpg/220px-Robert_Gillmor_2010-03-23.jpg, 1936, , 4764
Edward Sabine, http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Edward_Sabine_1860s.jpg/220px-Edward_Sabine_1860s.jpg, 1788-10-14, 1883-06-26, 22438
Bernhard Rensch, http://upload.wikimedia.org/wikipedia/en/f/f2/Bernhard_Rensch.jpg, , 1990-04-05, 5126
Charles Bendire, http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Charles_Bendire.jpg/220px-Charles_Bendire.jpg, , , 4729
S. A. Hussain, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/SAHussain.jpg/220px-SAHussain.jpg, , , 10211
John Richardson (naturalist), http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Sir_John_Richardson.jpg/230px-Sir_John_Richardson.jpg, , 1865-06-06, 10326
William H. Phelps Sr., http://upload.wikimedia.org/wikipedia/en/thumb/0/0c/William_Henry_Phelps.jpg/200px-William_Henry_Phelps.jpg, 1875-06-14, 1965-12-08, 3203
Humayun Abdulali, http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Portrait_of_Humayun_Abdulali.jpg/220px-Portrait_of_Humayun_Abdulali.jpg, 1914-05-19, 2001-06-03, 25530
William Brewster (ornithologist), http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/William_Brewster_ornithologist.jpg/200px-William_Brewster_ornithologist.jpg, , 1919-07-11, 6370
Dean Conant Worcester, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Dean_Conant_Worcester_1866-1924.jpg/175px-Dean_Conant_Worcester_1866-1924.jpg, 1866-10-01, 1924-05-02, 18275
William Yarrell, http://upload.wikimedia.org/wikipedia/commons/4/4e/William_Yarrell_%281784-1856%29.jpg, 1784-06-03, 1856-09-01, 9483
Valentin Bianchi, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Bianchi_V.L..jpg/220px-Bianchi_V.L..jpg, , 1920-01-11, 1601
Alcide d'Orbigny, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Alcide_Dessalines_d%27Orbigny_1802.jpg/200px-Alcide_Dessalines_d%27Orbigny_1802.jpg, , 1857-07-01, 8380
Thomas Bewick, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Thomas_Bewick_by_James_Ramsay.jpg/220px-Thomas_Bewick_by_James_Ramsay.jpg, , 1828-11-08, 35231
Horace Alexander, http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Horace_Alexander.jpg/220px-Horace_Alexander.jpg, 1889-04-18, 1989-09-30, 14316
Jean Victoire Audouin, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Victor_Audouin.jpg/220px-Victor_Audouin.jpg, 1797-04-27, 1841-11-09, 4579
