name, img, birth, death, length 
Franz Martin Hilgendorf, http://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Franz_Martin_Hilgendorf.jpg/220px-Franz_Martin_Hilgendorf.jpg, 1839-12-05, 1904-07-05, 3165
Caitlín R. Kiernan, http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Caitl%C3%ADn_R._Kiernan_by_Kyle_Cassidy2.JPG/220px-Caitl%C3%ADn_R._Kiernan_by_Kyle_Cassidy2.JPG, 1964-05-26, , 14947
Alpheus Hyatt, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Alpheus_Hyatt.jpg/220px-Alpheus_Hyatt.jpg, 1838-04-05, 1902-01-15, 4435
Annie Montague Alexander, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Annie_Montague_Alexander.jpg/180px-Annie_Montague_Alexander.jpg, 1867 -12-29, 1950-12-10, 10279
Andre Keyser, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Andre_Keyser00.jpg/220px-Andre_Keyser00.jpg, 1938-03-08, 2010-08-15, 4007
Luis Alcalá, http://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Luis_Alcal%C3%A1_Mart%C3%ADnez_-_oct_2013.JPG/220px-Luis_Alcal%C3%A1_Mart%C3%ADnez_-_oct_2013.JPG, , , 719
Farish Jenkins, http://upload.wikimedia.org/wikipedia/en/5/56/Farish_jenkins_on_safari.jpg, , , 4054
Jack Horner (paleontologist), http://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/2015JackHorner.jpg/250px-2015JackHorner.jpg, 1946-06-15, , 12548
Edward Hitchcock, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Edward_Hitchcock.jpg/250px-Edward_Hitchcock.jpg, , 1864-02-27, 8936
Berhane Asfaw, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Berhane_Asfaw.jpg/220px-Berhane_Asfaw.jpg, , , 2848
Julius von Haast, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Julius_von_Haast.jpg/220px-Julius_von_Haast.jpg, 1822-05-01, 1887-08-16, 11977
Charles Emerson Beecher, http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/PSM_V64_D572_Charles_Emerson_Beecher.png/220px-PSM_V64_D572_Charles_Emerson_Beecher.png, , 1904-02-15, 12693
Peter Merian, http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Peter_Merian.JPG/220px-Peter_Merian.JPG, , 1883-02-09, 2716
Johan Gunnar Andersson, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Andersson%2C_Johan_Gunnar_i_Hvar_8_dag_2_1906.jpg/200px-Andersson%2C_Johan_Gunnar_i_Hvar_8_dag_2_1906.jpg, , 1960-10-30, 10752
Roy Chapman Andrews, http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Roy_Chapman_Andrews_50488r.jpg/250px-Roy_Chapman_Andrews_50488r.jpg, 1884-01-26, 1960-03-11, 10146
Emiliano Aguirre, http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Emiliano_Aguirre_Enr%C3%ADquez_2007-1.JPG/220px-Emiliano_Aguirre_Enr%C3%ADquez_2007-1.JPG, , , 6236
Elaine Anderson, http://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Elaine_Anderson%2C_Denver_Museum.jpg/250px-Elaine_Anderson%2C_Denver_Museum.jpg, 1936-01-08, 2002-03-26, 4112
Florentino Ameghino, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Florentino_Ameghino.jpg/150px-Florentino_Ameghino.jpg, 1854-09-18, 1911-08-06, 7536
Richard Aldridge, http://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/23px-Flag_of_England.svg.png, , , 3282
