name, img, birth, death, length 
Léon Brillouin, http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/L%C3%A9on_Brillouin_Solvay_conference_1927.jpg/150px-L%C3%A9on_Brillouin_Solvay_conference_1927.jpg, , , 10043
Moses H. W. Chan, http://upload.wikimedia.org/wikipedia/en/thumb/7/7d/MosesHWChan.jpg/150px-MosesHWChan.jpg, 1946-11-23, , 2691
Peter Adolf Thiessen, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Bundesarchiv_Bild_183-83285-0019%2C_Peter_Adolf_Thiessen.jpg/220px-Bundesarchiv_Bild_183-83285-0019%2C_Peter_Adolf_Thiessen.jpg, 1899-04-06, 1990-03-05, 9863
Otto Robert Frisch, http://upload.wikimedia.org/wikipedia/commons/2/20/Otto_Frisch_ID_badge.png, 1904-10-01, 1979-09-22, 9911
Ilya Frank, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Ilya_Frank.jpg/225px-Ilya_Frank.jpg, 1908-10-23, 1990-06-22, 7437
Sheldon Lee Glashow, http://upload.wikimedia.org/wikipedia/commons/c/c3/Sheldon_Glashow_at_Harvard_cropped.jpg, 1932-12-05, , 10274
Augustin-Jean Fresnel, http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Augustin_Fresnel.jpg/220px-Augustin_Fresnel.jpg, 1788-05-10, 1827-07-14, 8356
Gian-Carlo Wick, http://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Giancarlowick.JPG/200px-Giancarlowick.JPG, 1909-10-15, 1992-04-20, 5518
Laura Bassi, http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Laura_Bassi.jpg/220px-Laura_Bassi.jpg, , 1778-02-20, 11321
James David Forbes, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/James_David_Forbes.png/220px-James_David_Forbes.png, 1809-04-20, 1868-12-31, 9157
John Sealy Townsend, http://upload.wikimedia.org/wikipedia/commons/a/a8/John_Sealy_Townsend.jpg, 1868-06-07, 1957-02-16, 5680
Neil Turok, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Neil_Turok_AIMS.jpg/150px-Neil_Turok_AIMS.jpg, 1958-11-16, , 7203
Gabriele Veneziano, http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/GabrieleVeneziano.jpg/220px-GabrieleVeneziano.jpg, 1942-09-07, , 5583
Walter Gerlach, http://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Walther_Gerlach.jpg/220px-Walther_Gerlach.jpg, 1889-08-01, 1979-08-10, 9426
Cumrun Vafa, http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Cumrun_Vafa%2C_Harvard.jpg/175px-Cumrun_Vafa%2C_Harvard.jpg, , , 4503
