name, img, birth, death, length 
Johannes Rydberg, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Rydberg%2C_Janne_%28foto_Per_Bagge%3B_AFs_Arkiv%29.jpg/250px-Rydberg%2C_Janne_%28foto_Per_Bagge%3B_AFs_Arkiv%29.jpg, 1854-11-08, 1919-12-28, 2982
Theodore Lyman, http://upload.wikimedia.org/wikipedia/commons/7/74/Lyman%2CTheodore_1934_London.jpg, 1874-11-23, 1954-10-11, 5696
Anders Jonas Ångström, http://upload.wikimedia.org/wikipedia/commons/1/1f/Anders_Jonas_%C3%85ngstr%C3%B6m_-_001.png, 1814-08-13, 1874-06-21, 6060
Robert Curl, http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Robert_Curl_crop_2009_CHAO.jpg/220px-Robert_Curl_crop_2009_CHAO.jpg, 1933-08-23, , 16864
Norman Lockyer, http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Picture_of_Norman_Lockyer.jpg/220px-Picture_of_Norman_Lockyer.jpg, 1836-05-17, 1920-08-16, 10443
Alfred Kastler, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kastler.jpg/200px-Kastler.jpg, , , 6823
William Herschel, http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/William_Herschel01.jpg/220px-William_Herschel01.jpg, 1738-11-15, 1822-08-25, 38149
Angelo Secchi, http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Angelo_Secchi.jpg/220px-Angelo_Secchi.jpg, 1818-06-29, 1878-02-26, 8484
Henry Fox Talbot, http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/William_Henry_Fox_Talbot%2C_by_John_Moffat%2C_1864.jpg/220px-William_Henry_Fox_Talbot%2C_by_John_Moffat%2C_1864.jpg, 1800-02-11, 1877-09-17, 17321
Gerhard Herzberg, http://upload.wikimedia.org/wikipedia/commons/4/4f/Herzberg%2CGerhard_1952_London.jpg, , 1999-03-03, 14683
Charles Augustus Young, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Charles_Augustus_Young.jpg/220px-Charles_Augustus_Young.jpg, 1834-12-15, 1908-01-03, 1973
Xiaoliang Sunney Xie, http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Xiaoliang_Sunney_Xie_1.jpg/220px-Xiaoliang_Sunney_Xie_1.jpg, 1962-06-24, , 11202
Carl David Tolmé Runge, http://upload.wikimedia.org/wikipedia/commons/3/34/CarleRunge.jpg, 1856-08-30, 1927-01-03, 3504
Kai Siegbahn, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Kai_Manne_B%C3%B6rje_Siegbahn.jpg/220px-Kai_Manne_B%C3%B6rje_Siegbahn.jpg, 1918-04-20, 2007-07-20, 5808
Rudolf Mössbauer, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Mossbauer.jpg/225px-Mossbauer.jpg, 1929-01-31, 2011-09-14, 7810
Nicolaas Bloembergen, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Nicolaas_Bloembergen_1981.jpg/220px-Nicolaas_Bloembergen_1981.jpg, 1920-03-11, , 12688
Isidor Isaac Rabi, http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/II_Rabi.jpg/220px-II_Rabi.jpg, 1898-07-29, 1988-01-11, 45279
John L. Hall, http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/John_L._Hall_in_Lindau.jpg/220px-John_L._Hall_in_Lindau.jpg, 1934-08-21, , 8208
