name, img, birth, death, length 
Mir Masoom Ali, http://upload.wikimedia.org/wikipedia/commons/3/3c/Mir_Masoom_Ali.jpg, 1937-02-01, , 6420
Raghu Raj Bahadur, http://upload.wikimedia.org/wikipedia/en/7/78/Raghu_Raj_Bahadur.jpg, 1924-04-30, 1997-07-07, 2955
William Beveridge, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/William_Beveridge_D_17134.jpg/220px-William_Beveridge_D_17134.jpg, 1879-03-05, 1963-03-16, 20390
Debabrata Basu, http://upload.wikimedia.org/wikipedia/en/thumb/2/22/Debabrata_Basu.gif/220px-Debabrata_Basu.gif, 1924-07-05, 2001-03-24, 7979
Roelof Botha, http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Roelof_Botha.jpg/220px-Roelof_Botha.jpg, 1973-09-19, , 3437
Leo Breiman, http://upload.wikimedia.org/wikipedia/en/4/4d/Leo_Breiman.jpg, 1928-01-27, 2005-07-05, 2252
Pafnuty Chebyshev, http://upload.wikimedia.org/wikipedia/commons/8/82/Chebyshev.jpg, 1821-05-16, 1894-12-08, 10902
Irénée-Jules Bienaymé, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Ir%C3%A9n%C3%A9e-Jules_Bienaym%C3%A9.jpeg/250px-Ir%C3%A9n%C3%A9e-Jules_Bienaym%C3%A9.jpeg, 1796-08-28, 1878-10-19, 4961
Doug Altman, http://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Doug_altman.jpeg/220px-Doug_altman.jpeg, 1948-07-12, , 7151
Hirotugu Akaike, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Akaike_Guest_House_in_Jan_2016.JPG/220px-Akaike_Guest_House_in_Jan_2016.JPG, 1927-11-05, 2009-08-04, 4243
John Aitchison, http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/John_Aitchison_October_2007_in_Girona_%28Spain%29.jpg/220px-John_Aitchison_October_2007_in_Girona_%28Spain%29.jpg, , , 6499
Anthony Ashley-Cooper, 7th Earl of Shaftesbury, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Anthony_Ashley-Cooper%2C_7th_Earl_of_Shaftesbury_by_John_Collier.jpg/220px-Anthony_Ashley-Cooper%2C_7th_Earl_of_Shaftesbury_by_John_Collier.jpg, 1801-04-28, 1885-10-01, 39277
Colin Clark (economist), http://upload.wikimedia.org/wikipedia/en/2/2e/Colin_Clark_%28economist%29.jpg, 1905-11-02, 1989-09-04, 10907
Calvin Beale, http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Calvin_Beale.jpg/220px-Calvin_Beale.jpg, 1923-06-06, 2008-09-02, 2095
Thomas Bayes, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Thomas_Bayes.gif/225px-Thomas_Bayes.gif, , 1761-04-07, 11547
Edith Abbott, http://upload.wikimedia.org/wikipedia/en/thumb/0/08/Edith_abbott.jpg/220px-Edith_abbott.jpg, 1876-09-26, 1957-07-28, 6594
R. G. D. Allen, http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Professor_Sir_Roy_George_Douglas_Allen%2C_c1978.jpg/220px-Professor_Sir_Roy_George_Douglas_Allen%2C_c1978.jpg, 1906-06-03, 1983-09-29, 12483
Carlo Emilio Bonferroni, http://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Carlo_Emilio_Bonferroni.jpg/160px-Carlo_Emilio_Bonferroni.jpg, 1892-01-28, 1960-08-18, 1710
Frank Anscombe, http://upload.wikimedia.org/wikipedia/en/d/d5/Francis_Anscombe.jpeg, 1918-05-13, 2001-10-17, 4057
Raj Chandra Bose, http://upload.wikimedia.org/wikipedia/en/d/d3/Raj_Chandra_Bose.jpg, 1901-06-19, 1987-10-31, 7004
Kenneth Arrow, http://upload.wikimedia.org/wikipedia/commons/9/9d/Kenneth_Arrow%2C_Stanford_University.jpg, 1921-08-23, 2017-02-21, 45274
Gauss Moutinho Cordeiro, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Foto_Gauss_2014.jpg/220px-Foto_Gauss_2014.jpg, 1952-04-17, , 6840
Norman Breslow, http://upload.wikimedia.org/wikipedia/en/6/6f/Professor_Norman_E._Breslow%2C_University_of_Washington.jpg, 1941-02-21, 2015-12-09, 2170
David E. Bloom, http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/David_Bloom.JPG/220px-David_Bloom.JPG, 1955-10-16, , 8098
Lawrence D. Brown, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Lawrence_D._Brown%2C_Linda_Zhao.jpg/220px-Lawrence_D._Brown%2C_Linda_Zhao.jpg, 1940-12-16, , 2416
Leonard Porter Ayres, http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, 1879-09-15, 1946-10-29, 3426
David B. Allison, http://upload.wikimedia.org/wikipedia/en/thumb/1/19/David_B._Allison%2C_September_2014.jpg/220px-David_B._Allison%2C_September_2014.jpg, , , 6006
David Glass (sociologist), http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/David_Glass%2C_c1970s_%284303691460%29.jpg/220px-David_Glass%2C_c1970s_%284303691460%29.jpg, 1911-01-02, 1978-09-23, 3492
A. Ross Eckler, http://upload.wikimedia.org/wikipedia/commons/9/99/A._Ross_Eckler.jpg, , 1991-03-14, 1792
Thomas M. Cover, http://upload.wikimedia.org/wikipedia/en/8/87/ThomasMCover.jpg, 1938-08-07, 2012-03-26, 5575
John Pakington, 1st Baron Hampton, http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/John_Pakington_1st_Baron_Hampton.jpg/200px-John_Pakington_1st_Baron_Hampton.jpg, 1799-02-20, , 8032
Lucien Le Cam, http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Lucien_Le_Cam.jpg/250px-Lucien_Le_Cam.jpg, 1924-11-18, 2000-04-25, 3769
Arthur P. Dempster, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Dempster_in_Brest.JPG/220px-Dempster_in_Brest.JPG, , , 2573
Richard Stone, http://upload.wikimedia.org/wikipedia/en/thumb/7/71/Richard_Stone.jpg/220px-Richard_Stone.jpg, 1913-08-30, 1991-12-06, 12576
Oskar Anderson, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Oskar_Anderson.jpg/150px-Oskar_Anderson.jpg, 1887-08-02, 1960-02-12, 3643
Theodore Wilbur Anderson, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/TW_Anderson.jpeg/150px-TW_Anderson.jpeg, , , 5141
James Joseph Sylvester, http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/James_Joseph_Sylvester.jpg/220px-James_Joseph_Sylvester.jpg, 1814-09-03, 1897-03-15, 13557
W. Edwards Deming, http://upload.wikimedia.org/wikipedia/en/a/a3/W._Edwards_Deming.gif, 1900-10-14, 1993-12-20, 37260
George E. P. Box, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/GeorgeEPBox.jpg/200px-GeorgeEPBox.jpg, 1919-10-18, 2013-03-28, 10273
Howell Tong, http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/The_2014_ISA_public_lecture_Bologna.jpg/220px-The_2014_ISA_public_lecture_Bologna.jpg, , , 9760
David Blackwell, http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/David_Blackwell_1999.jpeg/220px-David_Blackwell_1999.jpeg, 1919-04-24, 2010-07-08, 7173
Abraham Wald, http://upload.wikimedia.org/wikipedia/en/thumb/0/05/Abraham_Wald_in_his_youth.jpg/220px-Abraham_Wald_in_his_youth.jpg, 1902-10-31, 1950-12-13, 7409
Robert F. Engle, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Robert_Engle_SantiagoWEAI2017.png/220px-Robert_Engle_SantiagoWEAI2017.png, 1942-11-10, , 8770
