name, img, birth, death, length 
Donald T. Campbell, http://upload.wikimedia.org/wikipedia/en/thumb/0/02/Donald_T_Campbell-lg.jpg/220px-Donald_T_Campbell-lg.jpg, 1916-11-20, 1996-05-05, 13278
Hugo O. Engelmann, http://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Hugo_Engelmann.jpg/220px-Hugo_Engelmann.jpg, 1917-09-11, 2002-02-02, 12666
David Easton, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/DavidEaston.JPG/220px-DavidEaston.JPG, 1917-06-24, 2014-07-19, 13008
Ilya Prigogine, http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Ilya_Prigogine.jpg/220px-Ilya_Prigogine.jpg, 1917-01-25, 2003-05-28, 21929
Alexander Bogdanov, http://upload.wikimedia.org/wikipedia/commons/5/5a/A_A_Bogdanov.jpg, 1873-08-22, 1928-04-07, 30487
Dennis Meadows, http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Already_Beyond_-_40_Years_Limits_to_Growth%2C_279b%2C_Dennis_L._Meadows%2C_Massachusetts_Institute_of_Technology_MIT_-1972%2C_Dartmouth_College_-1988%2C_University_of_New_Hampshire_-2004%2C_The_Limits_to_Growths%2C_Club_of_Rome.jpg/220px-thumbnail.jpg, 1942-06-07, , 7786
George Dantzig, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/George_B._Dantzig_at_National_Medal_of_Science_Awards_Ceremony%2C_1976.jpg/280px-George_B._Dantzig_at_National_Medal_of_Science_Awards_Ceremony%2C_1976.jpg, 1914-11-08, 2005-05-13, 28036
Lotfi A. Zadeh, http://upload.wikimedia.org/wikipedia/commons/a/a3/Zadeh-barcelona-1997%4092x115.gif, 1921-02-04, , 22110
A. Wayne Wymore, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/AlbertWayneWymore.jpg/220px-AlbertWayneWymore.jpg, 1927-02-01, 2011-02-24, 2655
Douglas R. White, http://upload.wikimedia.org/wikipedia/commons/a/a3/Douglas_R._White.jpg, , , 8203
Duncan J. Watts, http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Duncan_Watts.jpg/220px-Duncan_Watts.jpg, 1971-02-20, , 5568
Geoffrey West, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Geoffrey_West.jpg/200px-Geoffrey_West.jpg, , , 5114
Russell L. Ackoff, http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Russel_Lincoln_Ackoff.jpg/250px-Russel_Lincoln_Ackoff.jpg, 1919-02-12, 2009-10-29, 20542
George Dantzig, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/George_B._Dantzig_at_National_Medal_of_Science_Awards_Ceremony%2C_1976.jpg/280px-George_B._Dantzig_at_National_Medal_of_Science_Awards_Ceremony%2C_1976.jpg, 1914-11-08, 2005-05-13, 28036
Howard T. Odum, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Odum%2C_Howard_T.jpg/220px-Odum%2C_Howard_T.jpg, 1924-09-01, 2002-09-11, 44260
Niklas Luhmann, http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Luhmann.png/220px-Luhmann.png, 1927-12-08, 1998-11-06, 34363
Edward Norton Lorenz, http://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Edward_lorenz.jpg/180px-Edward_lorenz.jpg, 1917-05-23, 2008-04-16, 12168
J. Doyne Farmer, http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/J._Doyne_Farmer.jpg/220px-J._Doyne_Farmer.jpg, 1952-06-22, , 19490
Donella Meadows, http://upload.wikimedia.org/wikipedia/en/b/b6/Cover_first_edition_Limits_to_growth.jpg, 1941-03-13, 2001-02-20, 10504
Richard E. Bellman, http://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Richard_Ernest_Bellman.jpg/220px-Richard_Ernest_Bellman.jpg, 1920-08-26, 1984-03-19, 12986
Gregory Bateson, http://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Arnhein_and_Bateson.jpg/220px-Arnhein_and_Bateson.jpg, 1904-05-09, 1980-07-04, 43346
Peter Senge, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Peter_Senge_at_Quest_to_Learn.jpg/225px-Peter_Senge_at_Quest_to_Learn.jpg, , , 7133
Béla H. Bánáthy, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Bela_Banathy_at_Pico_Blanco_Scout_Camp.jpg/220px-Bela_Banathy_at_Pico_Blanco_Scout_Camp.jpg, 1919-12-01, 2003-09-04, 41738
Mitchell Feigenbaum, http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Mitchell_J_Feigenbaum_-_Niels_Bohr_Institute_2006.jpg/220px-Mitchell_J_Feigenbaum_-_Niels_Bohr_Institute_2006.jpg, 1944-12-19, , 8977
Claude Shannon, http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/ClaudeShannon_MFO3807.jpg/220px-ClaudeShannon_MFO3807.jpg, 1916-04-30, 2001-02-24, 49991
Jay Wright Forrester, http://upload.wikimedia.org/wikipedia/en/6/68/Jay_Forrester.jpg, 1918-07-14, 2016-11-16, 9780
Gordon Pask, http://upload.wikimedia.org/wikipedia/en/b/bf/Gordon_Pask.gif, , , 26812
Yaneer Bar-Yam, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Yaneer_Bar-Yam_preparing_for_his_talk_on_Day_2_of_Wikimania_2014.jpg/240px-Yaneer_Bar-Yam_preparing_for_his_talk_on_Day_2_of_Wikimania_2014.jpg, , , 5010
Heinz von Foerster, http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/HvF_01.jpg/220px-HvF_01.jpg, , , 18371
Jay Wright Forrester, http://upload.wikimedia.org/wikipedia/en/6/68/Jay_Forrester.jpg, 1918-07-14, 2016-11-16, 9780
Heinz von Foerster, http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/HvF_01.jpg/220px-HvF_01.jpg, , , 18371
Francis Heylighen, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/FrancisHeylighen2009.jpg/220px-FrancisHeylighen2009.jpg, 1960-09-27, , 12276
Edward Norton Lorenz, http://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Edward_lorenz.jpg/180px-Edward_lorenz.jpg, 1917-05-23, 2008-04-16, 12168
W. Brian Arthur, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Brian_Arthur_-_World_Economic_Forum_Annual_Meeting_2011.jpg/220px-Brian_Arthur_-_World_Economic_Forum_Annual_Meeting_2011.jpg, 1946-07-21, , 6474
Béla H. Bánáthy, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Bela_Banathy_at_Pico_Blanco_Scout_Camp.jpg/220px-Bela_Banathy_at_Pico_Blanco_Scout_Camp.jpg, 1919-12-01, 2003-09-04, 41738
Hugh Everett III, http://upload.wikimedia.org/wikipedia/en/c/cf/Hugh-Everett.jpg, 1930-11-11, 1982-07-19, 21536
John Henry Holland, http://upload.wikimedia.org/wikipedia/en/6/6a/John_Henry_Holland.jpg, 1929-02-02, 2015-08-09, 5323
Donella Meadows, http://upload.wikimedia.org/wikipedia/en/b/b6/Cover_first_edition_Limits_to_growth.jpg, 1941-03-13, 2001-02-20, 10504
Bradford Parkinson, http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Col_Bradford_Parkinson_USAF_official_photo.png/220px-Col_Bradford_Parkinson_USAF_official_photo.png, 1935-02-16, , 10997
Valentino Braitenberg, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Valentin_Braitenberg_Portrait.jpg/220px-Valentin_Braitenberg_Portrait.jpg, 1926-06-18, 2011-09-09, 8573
Edgar Morin, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Edgar_Morin_IMG_0558-b.jpg/220px-Edgar_Morin_IMG_0558-b.jpg, 1921-07-08, , 11371
Eugene Odum, http://upload.wikimedia.org/wikipedia/en/thumb/6/67/Eugene_Odum_by_James_Stawser.jpg/220px-Eugene_Odum_by_James_Stawser.jpg, 1913-09-17, 2002-08-10, 9198
Herman Daly, http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, 1938-07-21, , 8838
Harold Stephen Black, http://upload.wikimedia.org/wikipedia/en/e/e8/Harold_Stephen_Black.gif, 1898-04-14, 1983-12-11, 6663
Christopher Zeeman, http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Christopher_Zeeman.jpeg/150px-Christopher_Zeeman.jpeg, 1925-02-04, 2016-02-13, 11275
Rudolf E. Kálmán, http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Rudolf_Kalman.jpg/220px-Rudolf_Kalman.jpg, 1930-05-19, 2016-07-02, 9381
Russell L. Ackoff, http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Russel_Lincoln_Ackoff.jpg/250px-Russel_Lincoln_Ackoff.jpg, 1919-02-12, 2009-10-29, 20542
Jaan Tallinn, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Jaan_Tallinn.jpg/220px-Jaan_Tallinn.jpg, 1972-02-14, , 5001
