name, img, birth, death, length 
Ruth Charney, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Ruth_Charney.jpg/220px-Ruth_Charney.jpg, , , 3080
Christine Darden, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Christine_Darden.jpg/220px-Christine_Darden.jpg, 1942-09-10, , 12793
Etta Zuber Falconer, http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Blue_pencil.svg/10px-Blue_pencil.svg.png, , , 4440
Ingrid Daubechies, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Ingrid_Daubechies_%282005%29.jpg/220px-Ingrid_Daubechies_%282005%29.jpg, 1954-08-17, , 10200
Sophie Germain, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Germain.jpeg/180px-Germain.jpeg, 1776-04-01, 1831-06-27, 33999
Coralie Colmez, http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Coralie_Colmez_%282009%29.jpg/220px-Coralie_Colmez_%282009%29.jpg, , , 7188
Nicole El Karoui, http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Nicole_El_Karoui_2008.jpg/220px-Nicole_El_Karoui_2008.jpg, 1944-05-29, , 4876
Ilka Agricola, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Ilka-Agricola.jpg/220px-Ilka-Agricola.jpg, 1973-08-08, , 4587
Winifred Asprey, http://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Winifred_Asprey.jpg/280px-Winifred_Asprey.jpg, 1917-04-08, 2007-10-19, 3737
Maria Angela Ardinghelli, http://upload.wikimedia.org/wikipedia/en/thumb/0/03/Portrait_Medallion_of_Maria_Ardinghelli%2C_Institut_de_France.jpg/220px-Portrait_Medallion_of_Maria_Ardinghelli%2C_Institut_de_France.jpg, 1730, , 6162
Lenore Blum, http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Lenore_Blum.jpg/220px-Lenore_Blum.jpg, 1942-12-18, , 4232
Tamara Awerbuch-Friedlander, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/TamaraAwerbuch-03-19-2015f.jpg/220px-TamaraAwerbuch-03-19-2015f.jpg, , , 14848
Jean Bartik, http://upload.wikimedia.org/wikipedia/en/1/19/Jean_Bartik.jpg, 1924-12-27, 2011-03-23, 11514
Alicia Boole Stott, http://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Alicia_Boole_Stott.jpg/200px-Alicia_Boole_Stott.jpg, , 1940-12-18, 5687
Jo Boaler, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Dr_Jo_Boaler.jpg/220px-Dr_Jo_Boaler.jpg, , , 16157
Dorothy Lewis Bernstein, http://upload.wikimedia.org/wikipedia/en/b/ba/Dorothy_Lewis_Bernstein.jpg, 1914-04-11, 1988-02-05, 5119
Bonnie Berger, http://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Bonnie_Berger_2014.jpg/220px-Bonnie_Berger_2014.jpg, , , 2644
Vasanti N. Bhat-Nayak, http://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/15px-Flag_of_India.svg.png, , , 1278
Marjorie Lee Browne, http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Marjorie_Lee_Browne.jpg/220px-Marjorie_Lee_Browne.jpg, 1914-09-09, 1979-10-19, 7534
Kathrin Bringmann, http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Mahlburg_Bringmann.jpg/220px-Mahlburg_Bringmann.jpg, 1977-05-08, , 1876
