name, img, birth, death, length 
Marcel Alexandre Bertrand, http://upload.wikimedia.org/wikipedia/commons/1/16/Marcel_Alexandre_Bertrand.jpg, , , 2935
Waldemar Christofer Brøgger (geologist), http://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Waldemar_Christofer_Br%C3%B8gger2.jpg/200px-Waldemar_Christofer_Br%C3%B8gger2.jpg, 1851-11-10, 1940-02-18, 3322
Luca Bindi, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Luca_Bindi_profile_picture.jpg/220px-Luca_Bindi_profile_picture.jpg, 1971-12-02, , 4000
Alexander Karpinsky, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/PSM_V51_D224_Alexander_Karpinsky.png/220px-PSM_V51_D224_Alexander_Karpinsky.png, , 1936-07-16, 3634
Ferdinand Zirkel, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Ferdinand_Zirkel_1838-1912.jpg/220px-Ferdinand_Zirkel_1838-1912.jpg, , 1912-06-12, 3704
Franz Xaver Zippe, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Franz_Xaver_Zippe_Litho.jpg/220px-Franz_Xaver_Zippe_Litho.jpg, , 1863-02-23, 3744
Abraham Gottlob Werner, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Abraham_Gottlob_Werner.jpg/150px-Abraham_Gottlob_Werner.jpg, , 1817-07-01, 12213
Georgius Agricola, http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Georgius_Agricola.jpg/200px-Georgius_Agricola.jpg, 1494-03-24, 1555-11-22, 9995
Friedrich Mohs, http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Friedrich_Mohs.jpg/200px-Friedrich_Mohs.jpg, , , 3831
Anselmus de Boodt, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Anselmus_de_Boodt.tif/lossy-page1-150px-Anselmus_de_Boodt.tif.jpg, , , 9442
James Dwight Dana, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/James_Dwight_Dana_by_Warren%2C_1865.jpg/200px-James_Dwight_Dana_by_Warren%2C_1865.jpg, 1813-02-12, 1895-04-14, 15414
Antoine Lacroix, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Alfred_Lacroix.jpg/200px-Alfred_Lacroix.jpg, , 1948-03-13, 3362
José Bonifácio de Andrada, http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Jose_bonifacio_de_andrada.png/220px-Jose_bonifacio_de_andrada.png, 1763-06-13, 1838-04-06, 9335
